district_ar_norm,district_lat,district_lon,district_ar
اليمامة,24.598914089999997,46.71710092,اليمامة
الجنادرية,24.82778048666667,46.87562598722222,الجنادرية
المنصورة (خنشليلة),24.609109115625,46.74437222125,المنصورة (خنشليلة)
السويدي الغربي,24.57568647076923,46.618877742307696,السويدي الغربي
الأندلس,24.74331736769231,46.78821751076923,الأندلس
البيان,24.87704124166667,46.86080373666667,البيان
المشرق,25.00681234,47.025496055000005,المشرق
العوالي,24.5569701925,46.616413893,العوالي
المروة,24.54551391733333,46.676738203333336,المروة
العماجية,24.44172056,46.97942474,العماجية
الشعلة,24.74,46.61,الشعلة
المعذر الشمالي,24.69070103142857,46.66915207285714,المعذر الشمالي
العود,24.625237201666664,46.727901725,العود
الرحمانية,24.716896675,46.665799785000004,الرحمانية
عريض,24.88,46.82,عريض
البطيحا,24.62101843,46.72190176,البطيحا
الفيصلية - الدرعية,24.74860542,46.58098805,الفيصلية - الدرعية
غرناطة,24.798429255714286,46.7509884,غرناطة
المرقب,24.63345438,46.719849073333336,المرقب
العريجاء الأوسط,24.607115951739132,46.632903912173916,العريجاء الأوسط
السلام,24.705818092,46.81346569,السلام
منفوحة الجديدة,24.6136929175,46.7212822225,منفوحة الجديدة
الحمراء,24.777615659333332,46.762465440666666,الحمراء
صلاح الدين,24.73272252,46.6888211925,صلاح الدين
العاصمه - الدرعية,24.758771154999998,46.57691408,العاصمه - الدرعية
الواحة,24.742832972000002,46.712692632,الواحة
الجزيرة,24.667411165714288,46.78972992571429,الجزيرة
الملك فهد,24.740368554375,46.671064654375,الملك فهد
الياسمين,24.820719065185184,46.64586217666666,الياسمين
ديراب,24.494768727500002,46.627295445,ديراب
المحمدية,24.730417352499998,46.65115921,المحمدية
الحائر,24.405250528,46.83801843,الحائر
الصناعية,24.643633361428574,46.744330129999994,الصناعية
الملك عبدالعزيز,24.697518785714287,46.723334633571426,الملك عبدالعزيز
النزهة,24.75769309878788,46.70768547484849,النزهة
معكال,24.61922412,46.71451341,معكال
الفوطة,24.641218776666665,46.71250557666667,الفوطة
طيبة,24.565517405,46.838034594999996,طيبة
خشم العان,24.718537555,46.857776470000005,خشم العان
الفاروق,24.659020375882353,46.783165554117645,الفاروق
قرطبة,24.818018944444443,46.73884345111111,قرطبة
المغرزات,24.76122220542857,46.72616003114286,المغرزات
هيت,24.44367137,47.00045309,هيت
لبن,24.632991818,46.61504336,لبن
الرائد,24.707403303333333,46.63772232,الرائد
الجرادية,24.61828493,46.69924853,الجرادية
الزاهر,24.65,46.76,الزاهر
الندوة,24.793131230000004,46.877594210909095,الندوة
أم الحمام الغربي,24.689802736923074,46.64606636153846,أم الحمام الغربي
طويق,24.568896079880954,46.546589727380955,طويق
عرقة,24.689019646666665,46.59357851666667,عرقة
المروج,24.756145415227273,46.663764819090915,المروج
الخزامى,24.835,46.695,الخزامى
سلطانة,24.60381663714286,46.68822824857143,سلطانة
الريان,24.707686402,46.780536468,الريان
اليرموك,24.8085688103125,46.782317646875,اليرموك
ضاحية نمار,24.479939811666668,46.55901640833333,ضاحية نمار
الهدا,24.661698972499998,46.6300416125,الهدا
البرية,24.574869355,46.890158785,البرية
الصالحية,24.63315281,46.734903474999996,الصالحية
الرفيعة,24.634308642500002,46.672686895,الرفيعة
عليشة,24.629848162000002,46.686962162,عليشة
ثليم,24.64024677333333,46.73101308666667,ثليم
غبيرا,24.61717348125,46.73286223625,غبيرا
الدريهمية,24.58770665333334,46.69444019,الدريهمية
المعذر,24.670864223333336,46.67257574333333,المعذر
جامعة الملك سعود,24.72999441,46.628198499999996,جامعة الملك سعود
المصفاة,24.494673766,46.938330539999995,المصفاة
الربيع,24.795797447555554,46.659612627111116,الربيع
ظهرة العودة شرق - الدرعية,24.752989266666663,46.545381666666664,ظهرة العودة شرق - الدرعية
العلا,25.01971122,47.17919052,العلا
المؤتمرات,24.6665017275,46.68646466,المؤتمرات
النور,24.63387852625,46.81238022625,النور
المناخ,24.615867942,46.80754944,المناخ
الندى,24.809000028,46.6878581655,الندى
الوسيطا,24.62749577,46.71402149,الوسيطا
العريجاء,24.62692257,46.66473118,العريجاء
النخبة,24.82,46.65,النخبة
النسيم الشرقي,24.737167662894734,46.84223500684211,النسيم الشرقي
النفل,24.78131984163265,46.67122706244898,النفل
المدينة الصناعية الجديدة,24.555946057142854,46.87829319714285,المدينة الصناعية الجديدة
الزهراء,24.688321697142857,46.728509204285714,الزهراء
الملز,24.6641041175,46.73187975411764,الملز
منفوحة,24.59870703125,46.7271103775,منفوحة
حطين,24.759230273611113,46.59918346611111,حطين
الصحافة,24.80118098337838,46.63817906054054,الصحافة
الملقا,24.802428889871795,46.612351376153846,الملقا
النخيل,24.739135105,46.61773598125,النخيل
المصانع,24.568121355,46.74751852428572,المصانع
القدس,24.753644459166665,46.75244566833334,القدس
الشهداء,24.7872024325,46.73534407,الشهداء
مطار الملك خالد الدولي,24.876036148,46.725184008,مطار الملك خالد الدولي
الزهرة,24.577981194166668,46.64492352,الزهرة
العارض,24.873560478157895,46.612194014736836,العارض
السويدي,24.593741115454545,46.678303062272725,السويدي
الشميسي,24.623775672857143,46.699178471428574,الشميسي
التعاون,24.77269948,46.701088060357144,التعاون
صياح,24.60257095,46.70098133,صياح
المهدية,24.643801904999997,46.49424141,المهدية
الخالدية,24.62568039111111,46.75285877222222,الخالدية
الغنامية,24.479534986666664,46.80438855333333,الغنامية
الدفاع,24.57905017,46.83015844,الدفاع
أم الحمام الشرقي,24.68318327333333,46.660760966666665,أم الحمام الشرقي
الرمال,24.867794164871796,46.811181897435894,الرمال
