district_ar,district_lat,district_lon,year,quarter,quarter_id,typecategoryar,deed_counts,region_ar,city_ar,sale_price_sar_sqm,is_apartment,is_villa,is_residential_plot,is_building,dist_metro_m,log_dist_metro_m,metro_stations_1km,nearest_metro_line_num,nearest_metro_type_cd,dist_metro_line1_m,dist_bus_m,log_dist_bus_m,bus_stops_500m,brt_stops_500m,dist_major_intersection_m,log_dist_intersection_m,intersections_1km,intersections_500m,commercial_count_1km,commercial_density_score,district_commercial_count,district_commercial_mix,hypermarket_count_1km,supermarket_count_1km,bank_count_1km,restaurant_count_1km,hotel_count_1km,gas_station_count_1km,commercial_complex_count_1km,dist_mosque_m,dist_mall_m,dist_school_m,dist_hospital_m,dist_park_m,dist_entertain_m,dist_pharmacy_m,dist_gym_m,dist_coffee_m,dist_clinic_m,dist_university_m,dist_supermarket_m,dist_cinema_m,dist_sports_m,dist_restaurant_m,dist_pool_m,dist_atm_m,dist_stadium_m,dist_library_m,dist_police_m,log_dist_mosque_m,log_dist_mall_m,log_dist_school_m,log_dist_hospital_m,log_dist_park_m,log_dist_entertain_m,log_dist_pharmacy_m,log_dist_gym_m,log_dist_coffee_m,log_dist_clinic_m,log_dist_university_m,log_dist_supermarket_m,log_dist_cinema_m,log_dist_sports_m,log_dist_restaurant_m,log_dist_pool_m,log_dist_atm_m,log_dist_stadium_m,log_dist_library_m,log_dist_police_m,mosque_count_500m,mall_count_500m,school_count_500m,hospital_count_500m,park_count_500m,entertain_count_500m,pharmacy_count_500m,gym_count_500m,coffee_count_500m,clinic_count_500m,university_count_500m,supermarket_count_500m,cinema_count_500m,sports_count_500m,restaurant_count_500m,pool_count_500m,atm_count_500m,stadium_count_500m,library_count_500m,police_count_500m,no2_nearest_mean,so2_nearest_mean,pm10_nearest_mean,o3_nearest_mean,dist_air_station_m,air_quality_score,rei_residential_qtr_idx,rei_apt_idx,rei_yoy_change,rei_qoq_change,avg_saudi_salary_yr,salary_yoy_change,district_median_price_sqm,district_transaction_volume,district_price_vs_city_avg,district_price_trend_slope,district_median_price_apt_sqm,district_encoded,district_type_encoded,district_apt_encoded,district_recent_encoded,district_apt_recent_encoded,sale_year,sale_quarter,sale_quarter_sin,sale_quarter_cos,log_deed_count,riyadh_connectivity_score,haraj_listing_count,haraj_median_psqm,haraj_p25_psqm,haraj_p75_psqm,haraj_iqr_psqm,haraj_asking_premium,aqar_median_size_sqm,aqar_median_bedrooms,aqar_median_property_age,aqar_rent_per_sqm,bayut_apt_median_area_sqm,bayut_plot_median_area_sqm,bayut_villa_median_area_sqm,bayut_apt_median_rooms,bayut_plot_median_rooms,bayut_villa_median_rooms,bayut_apt_median_psqm,bayut_plot_median_psqm,bayut_villa_median_psqm,haraj_apt_area_sqm,haraj_plot_area_sqm,haraj_villa_area_sqm,haraj_apt_age_yr,haraj_plot_age_yr,haraj_villa_age_yr
الصحافة,24.801180983378377,46.63817906054054,2022,2,20222,شقة,30,منطقة الرياض,الرياض,11283.13372,1,0,0,0,1730.2223383393657,7.456582991953483,0,1,1,1730.2223383393657,462.2449939405152,6.138256058718554,1,0,821.9854496494775,6.712938520872518,1,0,18,14,74,13,0,3,3,1,4,2,3,482.82854243515806,494.0234165188603,487.3776792058031,508.1096161533086,399.0412783493038,611.6883271639126,1197.2244752961676,536.1020374359277,558.7433443178252,508.1096161533086,1860.5467965012003,494.0234165188603,3519.066914937107,1202.35618841907,528.1033115463653,945.3041996815932,503.2995073348847,1061.7441326543874,5840.8037587091885,4698.337757445741,6.181730592787836,6.2046050675485,6.191089039320367,6.232663349265179,5.991567737656914,6.417856368079445,7.088596136161422,6.286188090305686,6.327478364953192,6.232663349265179,7.52916303213254,6.2046050675485,8.16623527833677,7.092869755624491,6.271183708719389,6.852564081506657,6.223170352153558,6.968609646315061,8.67279489092665,8.455176875099317,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13.80706078068592,1.5635963854982509,155.0309206869636,16.871366493175127,4543.104097371814,61.46361049838865,4.7,15.4,1.35,-0.9508625196027184,7195.681772727273,0.0889078829942626,5412.42249,61.0,0.8645148924490484,86.13571795255505,9414.120273,8.635262271549477,9.071667331589683,9.071667331589683,9.005558451949819,9.163361456643388,2022,2,1.2246467991473532e-16,-1.0,3.4339872044851463,11.824635032732688,16.0,10403.61,8873.564999999999,12893.1875,4019.6225000000018,1.8263647057521952,375.0,5.0,6.0,281.25,128.0,429.0,400.0,3.0,0.0,5.0,12946.0,9500.0,10500.0,127.0,692.5,362.5,3.0,,0.0
الصحافة,24.801180983378377,46.63817906054054,2021,3,20213,شقة,41,منطقة الرياض,الرياض,5350.3982,1,0,0,0,1730.2223383393657,7.456582991953483,0,1,1,1730.2223383393657,462.2449939405152,6.138256058718554,1,0,821.9854496494775,6.712938520872518,1,0,18,14,74,13,0,3,3,1,4,2,3,482.82854243515806,494.0234165188603,487.3776792058031,508.1096161533086,399.0412783493038,611.6883271639126,1197.2244752961676,536.1020374359277,558.7433443178252,508.1096161533086,1860.5467965012003,494.0234165188603,3519.066914937107,1202.35618841907,528.1033115463653,945.3041996815932,503.2995073348847,1061.7441326543874,5840.8037587091885,4698.337757445741,6.181730592787836,6.2046050675485,6.191089039320367,6.232663349265179,5.991567737656914,6.417856368079445,7.088596136161422,6.286188090305686,6.327478364953192,6.232663349265179,7.52916303213254,6.2046050675485,8.16623527833677,7.092869755624491,6.271183708719389,6.852564081506657,6.223170352153558,6.968609646315061,8.67279489092665,8.455176875099317,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13.80706078068592,1.5635963854982509,155.0309206869636,16.871366493175127,4543.104097371814,61.46361049838865,86.25,2.2,0.067714780886358,17.351063829787233,6608.163909090909,0.0934250364776847,5412.42249,61.0,0.8645148924490484,86.13571795255505,9414.120273,8.635262271549477,9.071667331589683,9.071667331589683,9.005558451949819,9.163361456643388,2021,3,-1.0,-1.8369701987210294e-16,3.737669618283368,11.824635032732688,16.0,10403.61,8873.564999999999,12893.1875,4019.6225000000018,1.8263647057521952,375.0,5.0,6.0,281.25,128.0,429.0,400.0,3.0,0.0,5.0,12946.0,9500.0,10500.0,127.0,692.5,362.5,3.0,,0.0
الصحافة,24.801180983378377,46.63817906054054,2020,1,20201,شقة,15,منطقة الرياض,الرياض,9414.120273,1,0,0,0,1730.2223383393657,7.456582991953483,0,1,1,1730.2223383393657,462.2449939405152,6.138256058718554,1,0,821.9854496494775,6.712938520872518,1,0,18,14,74,13,0,3,3,1,4,2,3,482.82854243515806,494.0234165188603,487.3776792058031,508.1096161533086,399.0412783493038,611.6883271639126,1197.2244752961676,536.1020374359277,558.7433443178252,508.1096161533086,1860.5467965012003,494.0234165188603,3519.066914937107,1202.35618841907,528.1033115463653,945.3041996815932,503.2995073348847,1061.7441326543874,5840.8037587091885,4698.337757445741,6.181730592787836,6.2046050675485,6.191089039320367,6.232663349265179,5.991567737656914,6.417856368079445,7.088596136161422,6.286188090305686,6.327478364953192,6.232663349265179,7.52916303213254,6.2046050675485,8.16623527833677,7.092869755624491,6.271183708719389,6.852564081506657,6.223170352153558,6.968609646315061,8.67279489092665,8.455176875099317,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13.80706078068592,1.5635963854982509,155.0309206869636,16.871366493175127,4543.104097371814,61.46361049838865,80.78,80.78,0.0,0.0,6043.545454545455,-0.0491484440559865,5412.42249,61.0,0.8645148924490484,86.13571795255505,9414.120273,8.635262271549477,9.071667331589683,9.071667331589683,9.005558451949819,9.163361456643388,2020,1,1.0,6.123233995736766e-17,2.772588722239781,11.824635032732688,16.0,10403.61,8873.564999999999,12893.1875,4019.6225000000018,1.8263647057521952,375.0,5.0,6.0,281.25,128.0,429.0,400.0,3.0,0.0,5.0,12946.0,9500.0,10500.0,127.0,692.5,362.5,3.0,,0.0
الصحافة,24.801180983378377,46.63817906054054,2023,1,20231,شقة,35,منطقة الرياض,الرياض,8813.737898,1,0,0,0,1730.2223383393657,7.456582991953483,0,1,1,1730.2223383393657,462.2449939405152,6.138256058718554,1,0,821.9854496494775,6.712938520872518,1,0,18,14,74,13,0,3,3,1,4,2,3,482.82854243515806,494.0234165188603,487.3776792058031,508.1096161533086,399.0412783493038,611.6883271639126,1197.2244752961676,536.1020374359277,558.7433443178252,508.1096161533086,1860.5467965012003,494.0234165188603,3519.066914937107,1202.35618841907,528.1033115463653,945.3041996815932,503.2995073348847,1061.7441326543874,5840.8037587091885,4698.337757445741,6.181730592787836,6.2046050675485,6.191089039320367,6.232663349265179,5.991567737656914,6.417856368079445,7.088596136161422,6.286188090305686,6.327478364953192,6.232663349265179,7.52916303213254,6.2046050675485,8.16623527833677,7.092869755624491,6.271183708719389,6.852564081506657,6.223170352153558,6.968609646315061,8.67279489092665,8.455176875099317,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13.80706078068592,1.5635963854982509,155.0309206869636,16.871366493175127,4543.104097371814,61.46361049838865,100.24,1.5,9.334020618556702,46.73333333333333,7195.681772727273,0.0889078829942626,5412.42249,61.0,0.8645148924490484,86.13571795255505,9414.120273,8.635262271549477,9.071667331589683,9.071667331589683,9.005558451949819,9.163361456643388,2023,1,1.0,6.123233995736766e-17,3.58351893845611,11.824635032732688,16.0,10403.61,8873.564999999999,12893.1875,4019.6225000000018,1.8263647057521952,375.0,5.0,6.0,281.25,128.0,429.0,400.0,3.0,0.0,5.0,12946.0,9500.0,10500.0,127.0,692.5,362.5,3.0,,0.0
الأندلس,24.743317367692303,46.78821751076922,2023,2,20232,شقة,27,منطقة الرياض,الرياض,4780.114373,1,0,0,0,1440.8384848116095,7.2736743038126175,0,6,1,12678.817792880513,108.78952148840014,4.698565091811058,6,0,278.4609807806174,5.632862679202493,4,1,5,2,13,6,0,1,0,0,0,3,1,902.2707835385156,888.7479770981045,580.2787817239745,1155.5689439533023,659.6835683357676,1322.7317312386483,1746.1362843838842,3492.534947406219,900.889442460361,1265.4940341941303,3094.9930442884247,888.7479770981045,7702.390142711285,6616.297061705687,908.078469470007,3462.807365602391,1196.9483750478732,4573.051722018521,5320.505959185742,3030.9971600250965,6.806022379492911,6.790938250825598,6.365230472620115,7.053213094207906,6.493275008642978,7.1882100960563795,7.46573331761451,8.158669381493699,6.804491943215978,7.144007758964098,8.037863988030228,6.790938250825598,8.949415789221927,8.79744226671839,6.812431415501199,8.150123657744091,7.088365685132418,8.42815468234969,8.579511617312425,8.01697681009464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.49746380382539,8.742661402028302,83.41557762720157,22.630744215229328,3861.116522664421,45.620449218851135,5.3,0.2,1.5238095238095235,9.6,7195.681772727273,0.0889078829942626,3142.529489,49.0,0.082563869141117,44.47486145478573,3832.177761,8.048641323589468,8.310206569790378,8.310206569790378,8.352169200240219,8.507388777023367,2023,2,1.2246467991473532e-16,-1.0,3.332204510175204,13.318404030304054,6.0,8043.005,6416.0425000000005,9563.1675,3147.124999999999,2.218280336194405,323.0,5.0,2.0,222.22222222222223,155.0,495.0,345.0,3.0,0.0,4.5,6495.0,4250.0,6861.25,130.1975,599.95,375.0,0.0,,0.0
الأندلس,24.743317367692303,46.78821751076922,2018,3,20183,شقة,6,منطقة الرياض,الرياض,3832.177761,1,0,0,0,1440.8384848116095,7.2736743038126175,0,6,1,12678.817792880513,108.78952148840014,4.698565091811058,6,0,278.4609807806174,5.632862679202493,4,1,5,2,13,6,0,1,0,0,0,3,1,902.2707835385156,888.7479770981045,580.2787817239745,1155.5689439533023,659.6835683357676,1322.7317312386483,1746.1362843838842,3492.534947406219,900.889442460361,1265.4940341941303,3094.9930442884247,888.7479770981045,7702.390142711285,6616.297061705687,908.078469470007,3462.807365602391,1196.9483750478732,4573.051722018521,5320.505959185742,3030.9971600250965,6.806022379492911,6.790938250825598,6.365230472620115,7.053213094207906,6.493275008642978,7.1882100960563795,7.46573331761451,8.158669381493699,6.804491943215978,7.144007758964098,8.037863988030228,6.790938250825598,8.949415789221927,8.79744226671839,6.812431415501199,8.150123657744091,7.088365685132418,8.42815468234969,8.579511617312425,8.01697681009464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.49746380382539,8.742661402028302,83.41557762720157,22.630744215229328,3861.116522664421,45.620449218851135,80.78,80.78,0.0,0.0,6531.549590909091,0.0362773951591035,3142.529489,49.0,0.082563869141117,44.47486145478573,3832.177761,8.048641323589468,8.310206569790378,8.310206569790378,8.352169200240219,8.507388777023367,2018,3,-1.0,-1.8369701987210294e-16,1.9459101490553132,13.318404030304054,6.0,8043.005,6416.0425000000005,9563.1675,3147.124999999999,2.218280336194405,323.0,5.0,2.0,222.22222222222223,155.0,495.0,345.0,3.0,0.0,4.5,6495.0,4250.0,6861.25,130.1975,599.95,375.0,0.0,,0.0
الأندلس,24.743317367692303,46.78821751076922,2020,4,20204,شقة,6,منطقة الرياض,الرياض,3068.730538,1,0,0,0,1440.8384848116095,7.2736743038126175,0,6,1,12678.817792880513,108.78952148840014,4.698565091811058,6,0,278.4609807806174,5.632862679202493,4,1,5,2,13,6,0,1,0,0,0,3,1,902.2707835385156,888.7479770981045,580.2787817239745,1155.5689439533023,659.6835683357676,1322.7317312386483,1746.1362843838842,3492.534947406219,900.889442460361,1265.4940341941303,3094.9930442884247,888.7479770981045,7702.390142711285,6616.297061705687,908.078469470007,3462.807365602391,1196.9483750478732,4573.051722018521,5320.505959185742,3030.9971600250965,6.806022379492911,6.790938250825598,6.365230472620115,7.053213094207906,6.493275008642978,7.1882100960563795,7.46573331761451,8.158669381493699,6.804491943215978,7.144007758964098,8.037863988030228,6.790938250825598,8.949415789221927,8.79744226671839,6.812431415501199,8.150123657744091,7.088365685132418,8.42815468234969,8.579511617312425,8.01697681009464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.49746380382539,8.742661402028302,83.41557762720157,22.630744215229328,3861.116522664421,45.620449218851135,80.78,80.78,0.0,0.0,6043.545454545455,-0.0491484440559865,3142.529489,49.0,0.082563869141117,44.47486145478573,3832.177761,8.048641323589468,8.310206569790378,8.310206569790378,8.352169200240219,8.507388777023367,2020,4,-2.4492935982947064e-16,1.0,1.9459101490553132,13.318404030304054,6.0,8043.005,6416.0425000000005,9563.1675,3147.124999999999,2.218280336194405,323.0,5.0,2.0,222.22222222222223,155.0,495.0,345.0,3.0,0.0,4.5,6495.0,4250.0,6861.25,130.1975,599.95,375.0,0.0,,0.0
الأندلس,24.743317367692303,46.78821751076922,2020,1,20201,شقة,6,منطقة الرياض,الرياض,3428.981973,1,0,0,0,1440.8384848116095,7.2736743038126175,0,6,1,12678.817792880513,108.78952148840014,4.698565091811058,6,0,278.4609807806174,5.632862679202493,4,1,5,2,13,6,0,1,0,0,0,3,1,902.2707835385156,888.7479770981045,580.2787817239745,1155.5689439533023,659.6835683357676,1322.7317312386483,1746.1362843838842,3492.534947406219,900.889442460361,1265.4940341941303,3094.9930442884247,888.7479770981045,7702.390142711285,6616.297061705687,908.078469470007,3462.807365602391,1196.9483750478732,4573.051722018521,5320.505959185742,3030.9971600250965,6.806022379492911,6.790938250825598,6.365230472620115,7.053213094207906,6.493275008642978,7.1882100960563795,7.46573331761451,8.158669381493699,6.804491943215978,7.144007758964098,8.037863988030228,6.790938250825598,8.949415789221927,8.79744226671839,6.812431415501199,8.150123657744091,7.088365685132418,8.42815468234969,8.579511617312425,8.01697681009464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.49746380382539,8.742661402028302,83.41557762720157,22.630744215229328,3861.116522664421,45.620449218851135,80.78,80.78,0.0,0.0,6043.545454545455,-0.0491484440559865,3142.529489,49.0,0.082563869141117,44.47486145478573,3832.177761,8.048641323589468,8.310206569790378,8.310206569790378,8.352169200240219,8.507388777023367,2020,1,1.0,6.123233995736766e-17,1.9459101490553132,13.318404030304054,6.0,8043.005,6416.0425000000005,9563.1675,3147.124999999999,2.218280336194405,323.0,5.0,2.0,222.22222222222223,155.0,495.0,345.0,3.0,0.0,4.5,6495.0,4250.0,6861.25,130.1975,599.95,375.0,0.0,,0.0
الأندلس,24.743317367692303,46.78821751076922,2023,1,20231,شقة,27,منطقة الرياض,الرياض,5219.7905,1,0,0,0,1440.8384848116095,7.2736743038126175,0,6,1,12678.817792880513,108.78952148840014,4.698565091811058,6,0,278.4609807806174,5.632862679202493,4,1,5,2,13,6,0,1,0,0,0,3,1,902.2707835385156,888.7479770981045,580.2787817239745,1155.5689439533023,659.6835683357676,1322.7317312386483,1746.1362843838842,3492.534947406219,900.889442460361,1265.4940341941303,3094.9930442884247,888.7479770981045,7702.390142711285,6616.297061705687,908.078469470007,3462.807365602391,1196.9483750478732,4573.051722018521,5320.505959185742,3030.9971600250965,6.806022379492911,6.790938250825598,6.365230472620115,7.053213094207906,6.493275008642978,7.1882100960563795,7.46573331761451,8.158669381493699,6.804491943215978,7.144007758964098,8.037863988030228,6.790938250825598,8.949415789221927,8.79744226671839,6.812431415501199,8.150123657744091,7.088365685132418,8.42815468234969,8.579511617312425,8.01697681009464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.49746380382539,8.742661402028302,83.41557762720157,22.630744215229328,3861.116522664421,45.620449218851135,100.24,1.5,9.334020618556702,46.73333333333333,7195.681772727273,0.0889078829942626,3142.529489,49.0,0.082563869141117,44.47486145478573,3832.177761,8.048641323589468,8.310206569790378,8.310206569790378,8.352169200240219,8.507388777023367,2023,1,1.0,6.123233995736766e-17,3.332204510175204,13.318404030304054,6.0,8043.005,6416.0425000000005,9563.1675,3147.124999999999,2.218280336194405,323.0,5.0,2.0,222.22222222222223,155.0,495.0,345.0,3.0,0.0,4.5,6495.0,4250.0,6861.25,130.1975,599.95,375.0,0.0,,0.0
الصحافة,24.801180983378377,46.63817906054054,2021,2,20212,شقة,84,منطقة الرياض,الرياض,5347.29584,1,0,0,0,1730.2223383393657,7.456582991953483,0,1,1,1730.2223383393657,462.2449939405152,6.138256058718554,1,0,821.9854496494775,6.712938520872518,1,0,18,14,74,13,0,3,3,1,4,2,3,482.82854243515806,494.0234165188603,487.3776792058031,508.1096161533086,399.0412783493038,611.6883271639126,1197.2244752961676,536.1020374359277,558.7433443178252,508.1096161533086,1860.5467965012003,494.0234165188603,3519.066914937107,1202.35618841907,528.1033115463653,945.3041996815932,503.2995073348847,1061.7441326543874,5840.8037587091885,4698.337757445741,6.181730592787836,6.2046050675485,6.191089039320367,6.232663349265179,5.991567737656914,6.417856368079445,7.088596136161422,6.286188090305686,6.327478364953192,6.232663349265179,7.52916303213254,6.2046050675485,8.16623527833677,7.092869755624491,6.271183708719389,6.852564081506657,6.223170352153558,6.968609646315061,8.67279489092665,8.455176875099317,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13.80706078068592,1.5635963854982509,155.0309206869636,16.871366493175127,4543.104097371814,61.46361049838865,82.36,82.92,0.0,40.18,6608.163909090909,0.0934250364776847,5412.42249,61.0,0.8645148924490484,86.13571795255505,9414.120273,8.635262271549477,9.071667331589683,9.071667331589683,9.005558451949819,9.163361456643388,2021,2,1.2246467991473532e-16,-1.0,4.442651256490317,11.824635032732688,16.0,10403.61,8873.564999999999,12893.1875,4019.6225000000018,1.8263647057521952,375.0,5.0,6.0,281.25,128.0,429.0,400.0,3.0,0.0,5.0,12946.0,9500.0,10500.0,127.0,692.5,362.5,3.0,,0.0
