Date;City;Station;Component;Value;Unit;Indicator;Periodicity;Quarter
2019-09-27;Riyadh;At-Taawun;NO2;7.84;ppb;Avg / Hourly;Daily;
2019-10-19;Riyadh;Al-Uraija;SO2;0.2;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;Al-Jazeera;SO2;2.4;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;Al-Jazeera;SO2;5.6;ppb;Max / Hourly;Daily;
2019-10-19;Riyadh;Al-Muruj;SO2;1.9;ppb;Max / Hourly;Daily;
2019-10-19;Riyadh;Al-Khalidiya;SO2;3.1;ppb;Max / Hourly;Daily;
2019-10-19;Riyadh;Ar-Rawabi;SO2;1.75;ppb;Avg / Hourly;Daily;
2019-10-19;Riyadh;Al-Uraija;NO2;4.3;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;At-Taawun;NO2;29.5;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;Al-Khalidiya;NO2;31.3;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;Al-Jazeera;NO2;55.9;ppb;Max / Hourly;Daily;
2019-10-19;Riyadh;At-Taawun;NO2;106.9;ppb;Max / Hourly;Daily;
2019-10-19;Riyadh;Ar-Rawabi;NO2;8.01;ppb;Avg / Hourly;Daily;
2019-10-19;Riyadh;At-Taawun;NO2;58.62;ppb;Avg / Hourly;Daily;
2019-10-19;Riyadh;Al-Khaleej;O3;2.9;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;Al-Uraija;O3;1.0;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;Al-Muruj;O3;6.82;ppb;Avg / Hourly;Daily;
2019-10-19;Riyadh;Al-Khalidiya;PM10;63.0;µg/m3;Min / Hourly;Daily;
2019-10-19;Riyadh;Ar-Rawabi;PM10;159.0;µg/m3;Max / Hourly;Daily;
2019-10-19;Riyadh;Al-Muruj;PM10;166.0;µg/m3;Max / Hourly;Daily;
2019-10-19;Riyadh;Ar-Rawabi;PM10;65.04;µg/m3;Avg / Hourly;Daily;
2019-10-26;Riyadh;Al-Khaleej;CO;1.41;ppm;Max / Hourly;Daily;
2019-10-26;Riyadh;Al-Jazeera;CO;2.45;ppm;Max / Hourly;Daily;
2019-10-26;Riyadh;Al-Jazeera;CO;1.88;ppm;Avg / Hourly;Daily;
