id,latitude,longitude,price,room_type,neighbourhood_cleansed,neighbourhood_group_cleansed
2539,40.64529,-73.97238,,Private room,Kensington,Brooklyn
2595,40.75356,-73.98559,,Entire home/apt,Midtown,Manhattan
6848,40.70935,-73.95342,,Entire home/apt,Williamsburg,Brooklyn
6872,40.80107,-73.94255,,Private room,East Harlem,Manhattan
6990,40.78778,-73.94759,,Private room,East Harlem,Manhattan
7064,40.71248,-73.95881,,Private room,Williamsburg,Brooklyn
7097,40.69194,-73.97389,,Private room,Fort Greene,Brooklyn
7801,40.718807220458984,-73.9561767578125,,Entire home/apt,Williamsburg,Brooklyn
60457,40.73072,-73.99275,,Entire home/apt,Greenwich Village,Manhattan
60611,40.792667388916016,-73.946533203125,,Entire home/apt,East Harlem,Manhattan
60666,40.81006,-73.94559,,Private room,Harlem,Manhattan
60673,40.81562,-73.94674,,Private room,Harlem,Manhattan
60680,40.72598,-73.97978,,Entire home/apt,East Village,Manhattan
60794,40.79918,-73.96248,,Entire home/apt,Upper West Side,Manhattan
61406,40.80371,-73.95635,,Private room,Harlem,Manhattan
62925,40.72967,-73.95352,,Entire home/apt,Greenpoint,Brooklyn
63610,40.881,-73.83511,,Private room,Eastchester,Bronx
8490,40.684555843449075,-73.93963415175676,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
9357,40.76724,-73.98664,,Entire home/apt,Hell's Kitchen,Manhattan
10452,40.68294,-73.95682,,Private room,Bedford-Stuyvesant,Brooklyn
11943,40.63702,-73.96327,,Private room,Flatbush,Brooklyn
63657,40.68253,-73.94295,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
64015,40.72863,-73.9842,,Entire home/apt,East Village,Manhattan
64314,40.67634,-73.95143,,Private room,Crown Heights,Brooklyn
64365,40.67579,-73.95072,,Private room,Crown Heights,Brooklyn
65615,40.7106,-73.95178,,Entire home/apt,Williamsburg,Brooklyn
65660,40.70797,-73.94792,,Entire home/apt,Williamsburg,Brooklyn
66008,40.68028,-73.99328,,Entire home/apt,Carroll Gardens,Brooklyn
66251,40.72547,-73.98619,,Entire home/apt,East Village,Manhattan
66974,40.68088,-73.99102,,Entire home/apt,Gowanus,Brooklyn
67299,40.71516,-73.96448,,Entire home/apt,Williamsburg,Brooklyn
68253,40.76336,-73.92099,,Private room,Astoria,Queens
12192,40.72296,-73.98383,,Private room,East Village,Manhattan
12937,40.74757,-73.94571,,Private room,Long Island City,Queens
12940,40.67946,-73.95417,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
14314,40.73535,-73.95584,,Entire home/apt,Greenpoint,Brooklyn
15341,40.721359,-73.993668,,Entire home/apt,Lower East Side,Manhattan
15385,40.71211,-73.96397,,Private room,Williamsburg,Brooklyn
15396,40.74493,-73.99521,,Entire home/apt,Chelsea,Manhattan
16338,40.69121,-73.96804,,Private room,Clinton Hill,Brooklyn
16580,40.72372723229208,-73.97625850509617,,Private room,East Village,Manhattan
16821,40.72281,-73.98501,,Private room,East Village,Manhattan
16974,40.8019,-73.93762,,Entire home/apt,East Harlem,Manhattan
17037,40.72289,-73.98028,,Entire home/apt,East Village,Manhattan
68735,40.78846,-73.97459,,Entire home/apt,Upper West Side,Manhattan
68974,40.72,-73.99487,,Entire home/apt,Nolita,Manhattan
71384,40.72919,-73.95588,,Entire home/apt,Greenpoint,Brooklyn
72190,40.77743,-73.97691,,Entire home/apt,Upper West Side,Manhattan
74680,40.77507,-73.93367,,Private room,Astoria,Queens
74860,40.72364,-73.95013,,Entire home/apt,Greenpoint,Brooklyn
75635,40.71624,-73.994,,Entire home/apt,Chinatown,Manhattan
75658,40.695588790857855,-73.95461923691613,,Private room,Bedford-Stuyvesant,Brooklyn
77765,40.73777,-73.95366,,Hotel room,Greenpoint,Brooklyn
79067,40.68337,-73.96253,,Entire home/apt,Clinton Hill,Brooklyn
18152,40.76967,-73.94831,,Private room,Upper East Side,Manhattan
18728,40.74261,-74.00353,,Private room,Chelsea,Manhattan
18961,40.73808,-73.98001,,Private room,Kips Bay,Manhattan
80684,40.73756,-73.9535,,Hotel room,Greenpoint,Brooklyn
80700,40.73777,-73.95366,,Private room,Greenpoint,Brooklyn
81739,40.73777,-73.95366,,Private room,Greenpoint,Brooklyn
82638,40.72408,-73.98154,,Entire home/apt,East Village,Manhattan
82928,40.68433,-73.94469,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
83243,40.68769,-73.91788,,Entire home/apt,Bushwick,Brooklyn
83474,40.69132,-73.98573,,Private room,Downtown Brooklyn,Brooklyn
84010,40.73777,-73.95366,,Hotel room,Greenpoint,Brooklyn
89427,40.68513,-73.96648,,Entire home/apt,Clinton Hill,Brooklyn
19174,40.73917,-74.00207,,Entire home/apt,West Village,Manhattan
19812,40.71802,-73.95724,,Entire home/apt,Williamsburg,Brooklyn
20913,40.70967,-73.95922,,Entire home/apt,Williamsburg,Brooklyn
21456,40.79936,-73.96155,,Private room,Upper West Side,Manhattan
21644,40.82782,-73.9473,,Private room,Harlem,Manhattan
21794,40.74187,-74.00223,,Private room,Chelsea,Manhattan
23135,40.67747,-74.00146,,Private room,Carroll Gardens,Brooklyn
23545,40.82825,-73.95138,,Entire home/apt,Harlem,Manhattan
93313,40.684569430603325,-73.93840021354636,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
94783,40.6736,-73.9551,,Entire home/apt,Crown Heights,Brooklyn
96471,40.68513,-73.96648,,Private room,Clinton Hill,Brooklyn
98663,40.75077,-73.99657,,Entire home/apt,Chelsea,Manhattan
100002,40.85433,-73.9324,,Private room,Washington Heights,Manhattan
100186,40.66952,-73.99201,,Entire home/apt,Gowanus,Brooklyn
100368,40.736945460110306,-73.99847316741945,,Entire home/apt,West Village,Manhattan
101053,40.71116,-73.95484,,Private room,Williamsburg,Brooklyn
24285,40.67115,-73.98026,,Entire home/apt,Park Slope,Brooklyn
25406,40.71649,-73.94865,,Entire home/apt,Williamsburg,Brooklyn
25696,40.8102731,-73.9431546,,Private room,Harlem,Manhattan
26785,40.6686,-73.98723,,Entire home/apt,South Slope,Brooklyn
27883,40.72421,-73.98509,,Entire home/apt,East Village,Manhattan
28907,40.77827,-73.94669,,Entire home/apt,Upper East Side,Manhattan
29013,40.68288,-73.95646,,Private room,Bedford-Stuyvesant,Brooklyn
103311,40.73778,-73.95366,,Private room,Greenpoint,Brooklyn
103555,40.693047,-73.971985,,Entire home/apt,Fort Greene,Brooklyn
105469,40.58603,-73.8145,,Private room,Rockaway Beach,Queens
106363,40.82772,-73.95284,,Private room,Harlem,Manhattan
106647,40.68647,-73.95862,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
106906,40.68615,-73.96769,,Entire home/apt,Clinton Hill,Brooklyn
107630,40.72741,-73.95466,,Entire home/apt,Greenpoint,Brooklyn
112304,40.8069,-73.95372,,Private room,Harlem,Manhattan
112435,40.69132,-73.97306,,Private room,Fort Greene,Brooklyn
113265,40.67582,-73.9518,,Private room,Crown Heights,Brooklyn
115535,40.82402,-73.95263,,Private room,Harlem,Manhattan
29628,40.68292,-73.96381,,Private room,Clinton Hill,Brooklyn
31130,40.7672,-73.98464,,Entire home/apt,Hell's Kitchen,Manhattan
31555,40.73405,-74.00281,,Entire home/apt,West Village,Manhattan
31902,40.6327,-73.93184,,Private room,East Flatbush,Brooklyn
31994,40.68818,-73.96383,,Private room,Clinton Hill,Brooklyn
115748,40.76406,-73.92266,,Entire home/apt,Astoria,Queens
116551,40.80384,-73.95123,,Entire home/apt,Harlem,Manhattan
118061,40.68462,-73.92895,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
125163,40.68595,-73.92923,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
128975,40.81127,-73.94561,,Entire home/apt,Harlem,Manhattan
135465,40.68646,-73.97548,,Entire home/apt,Fort Greene,Brooklyn
136493,40.67497,-73.97796,,Private room,Park Slope,Brooklyn
139624,40.67478,-73.95165,,Entire home/apt,Crown Heights,Brooklyn
32037,40.68513,-73.96648,,Private room,Clinton Hill,Brooklyn
33009,40.71512,-73.95899,,Entire home/apt,Williamsburg,Brooklyn
36647,40.79245376586914,-73.94074249267578,,Private room,East Harlem,Manhattan
38663,40.68442,-73.98068,,Private room,Boerum Hill,Brooklyn
38833,40.8180576,-73.9466707,,Private room,Harlem,Manhattan
39282,40.71065139770508,-73.95087432861328,,Private room,Williamsburg,Brooklyn
39593,40.74523,-73.92318,,Private room,Sunnyside,Queens
39704,40.68216,-73.94594,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
42300,40.71992,-73.99167,,Entire home/apt,Lower East Side,Manhattan
42729,40.67813,-74.00062,,Private room,Carroll Gardens,Brooklyn
140133,40.71347,-73.96035,,Entire home/apt,Williamsburg,Brooklyn
141335,40.67487,-73.97637,,Private room,Park Slope,Brooklyn
142069,40.72506,-73.97906,,Entire home/apt,East Village,Manhattan
144087,40.80687,-73.95333,,Entire home/apt,Harlem,Manhattan
144148,40.72297,-73.9851,,Private room,East Village,Manhattan
146726,40.80392,-73.94765,,Entire home/apt,Harlem,Manhattan
148201,40.7304,-74.00228,,Entire home/apt,West Village,Manhattan
148259,40.71345,-73.94289,,Entire home/apt,Williamsburg,Brooklyn
148825,40.79999,-73.96338,,Entire home/apt,Upper West Side,Manhattan
150804,40.7203,-73.98424,,Private room,Lower East Side,Manhattan
44229,40.69287,-73.97108,,Private room,Fort Greene,Brooklyn
45542,40.82569,-73.93842,,Entire home/apt,Harlem,Manhattan
45910,40.70309,-73.89963,,Entire home/apt,Ridgewood,Queens
45935,40.80635,-73.92201,,Private room,Mott Haven,Bronx
45936,40.8063,-73.95985,,Private room,Morningside Heights,Manhattan
46544,40.67979,-73.97978,,Entire home/apt,Park Slope,Brooklyn
46911,40.68009896425498,-73.9746189673198,,Private room,Park Slope,Brooklyn
49048,40.6829,-73.95701,,Private room,Bedford-Stuyvesant,Brooklyn
150989,40.71584,-73.96355,,Entire home/apt,Williamsburg,Brooklyn
151199,40.7573,-73.91488,,Entire home/apt,Astoria,Queens
152263,40.80493,-73.94999,,Private room,Harlem,Manhattan
152819,40.7167,-73.95014,,Entire home/apt,Williamsburg,Brooklyn
157673,40.68096,-73.94062,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
158061,40.68511,-73.91927,,Private room,Bedford-Stuyvesant,Brooklyn
162493,40.71174,-73.95798,,Private room,Williamsburg,Brooklyn
162508,40.67188,-73.95097,,Entire home/apt,Crown Heights,Brooklyn
166006,40.79864,-73.96209,,Entire home/apt,Upper West Side,Manhattan
166172,40.68478,-73.9066,,Private room,Bushwick,Brooklyn
51438,40.77449,-73.95308,,Private room,Upper East Side,Manhattan
52689,40.77868,-73.90652,,Private room,Ditmars Steinway,Queens
53469,40.71567,-73.87842,,Entire home/apt,Middle Village,Queens
53470,40.70422,-73.89778,,Entire home/apt,Ridgewood,Queens
53477,40.71778,-73.87714,,Entire home/apt,Middle Village,Queens
54466,40.80255,-73.95803,,Private room,Harlem,Manhattan
166983,40.68194,-73.99708,,Entire home/apt,Carroll Gardens,Brooklyn
169483,40.60602,-73.97076,,Private room,Gravesend,Brooklyn
170420,40.79179,-73.93972,,Entire home/apt,East Harlem,Manhattan
170761,40.68877615321917,-73.97762359693657,,Private room,Fort Greene,Brooklyn
171562,40.74937,-73.99467,,Entire home/apt,Chelsea,Manhattan
173151,40.72852,-73.95655,,Private room,Greenpoint,Brooklyn
174966,40.7751,-73.98595,,Entire home/apt,Upper West Side,Manhattan
176135,40.67545,-73.96096,,Entire home/apt,Crown Heights,Brooklyn
177495,40.74088,-73.99538,,Entire home/apt,Chelsea,Manhattan
177606,40.74045,-73.9749,,Entire home/apt,Kips Bay,Manhattan
54508,40.6789595110935,-73.97409474641334,,Private room,Park Slope,Brooklyn
54544,40.81182,-73.94631,,Entire home/apt,Harlem,Manhattan
54694,40.67144,-73.76501,,Private room,Jamaica,Queens
54860,40.79934,-73.94236,,Private room,East Harlem,Manhattan
55959,40.71065,-73.95087,,Private room,Williamsburg,Brooklyn
55982,40.68701,-73.97555,,Private room,Fort Greene,Brooklyn
56859,40.81201,-73.94452,,Private room,Harlem,Manhattan
57166,40.772472,-73.906075,,Entire home/apt,Ditmars Steinway,Queens
179670,40.72113,-73.98213,,Private room,East Village,Manhattan
182069,40.78959,-73.94705,,Entire home/apt,East Harlem,Manhattan
187986,40.73862,-73.99758,,Entire home/apt,Chelsea,Manhattan
188674,40.73345,-73.98809,,Entire home/apt,East Village,Manhattan
188803,40.6879299,-73.97646399999999,,Private room,Fort Greene,Brooklyn
189135,40.76263,-73.99401,,Private room,Hell's Kitchen,Manhattan
189181,40.74907,-74.00281,,Private room,Chelsea,Manhattan
189787,40.66941,-73.94988,,Entire home/apt,Crown Heights,Brooklyn
190968,40.67914,-73.96443,,Entire home/apt,Prospect Heights,Brooklyn
57297,40.69003,-73.99338,,Private room,Brooklyn Heights,Brooklyn
57618,40.76505,-73.98716,,Entire home/apt,Hell's Kitchen,Manhattan
57874,40.80747,-73.94076,,Entire home/apt,East Harlem,Manhattan
190974,40.66836,-73.98166,,Entire home/apt,Park Slope,Brooklyn
191610,40.74697296939259,-74.00178397023312,,Private room,Chelsea,Manhattan
195123,40.83338,-73.94326,,Private room,Washington Heights,Manhattan
195240,40.65468,-73.95721,,Private room,Flatbush,Brooklyn
195989,40.6767158,-73.9818207,,Private room,Park Slope,Brooklyn
198744,40.78096,-73.98808,,Entire home/apt,Upper West Side,Manhattan
199733,40.67635,-73.96108,,Entire home/apt,Crown Heights,Brooklyn
58059,40.8238,-73.94444,,Private room,Harlem,Manhattan
59014,40.71946,-73.98641,,Entire home/apt,Lower East Side,Manhattan
59121,40.70271,-73.8993,,Entire home/apt,Ridgewood,Queens
60181,40.7253,-73.98028,,Entire home/apt,East Village,Manhattan
253842,40.73756,-73.9535,,Private room,Greenpoint,Brooklyn
253846,40.73756,-73.9535,,Hotel room,Greenpoint,Brooklyn
254168,40.73756,-73.9535,,Private room,Greenpoint,Brooklyn
255476,40.71134819720268,-73.95338679325236,,Private room,Williamsburg,Brooklyn
200955,40.73125,-73.9811,,Entire home/apt,Stuyvesant Town,Manhattan
201514,40.82553,-73.94511,,Entire home/apt,Harlem,Manhattan
201992,40.67466,-73.97853,,Entire home/apt,Park Slope,Brooklyn
202273,40.68702,-73.94917,,Private room,Bedford-Stuyvesant,Brooklyn
203901,40.76922,-73.95648,,Entire home/apt,Upper East Side,Manhattan
204065,40.687,-73.96149,,Entire home/apt,Clinton Hill,Brooklyn
