Year;Profession;Nationality;Gender;Average Salary
2014;Scientific, technical and human specialists;Saudis;Male;12579.18
2019;Scientific, technical and human specialists;Saudis;Male;4390.32
2016;Scientific, technical and human specialists;Saudis;Female;5028.048
2017;Scientific, technical and human specialists;Saudis;Female;5142.434
2020;Scientific, technical and human specialists;Saudis;Female;6264.0
2014;Scientific, technical and human specialists;Non-Saudis;Male;8753.253
2015;Scientific, technical and human technicians;Saudis;Male;5914.643
2021;Scientific, technical and human technicians;Saudis;Male;7768.089
2019;Scientific, technical and human technicians;Non-Saudis;Male;4140.098
2021;Scientific, technical and human technicians;Non-Saudis;Male;4401.789
2016;Scientific, technical and human technicians;Non-Saudis;Female;3372.265
2019;Scientific, technical and human technicians;Non-Saudis;Female;4029.817
2021;Scientific, technical and human technicians;Non-Saudis;Female;4300.147
2022;Scientific, technical and human technicians;Non-Saudis;Female;4439.711
2021;Clerical jobs;Saudis;Male;7039.395
2020;Clerical jobs;Saudis;Female;4025.0
2021;Clerical jobs;Saudis;Female;4575.72
2017;Clerical jobs;Non-Saudis;Female;3611.996
2021;Clerical jobs;Non-Saudis;Female;4410.438
2022;Clerical jobs;Non-Saudis;Female;4683.563
2022;Auxiliary basic engineering jobs;Saudis;Male;7761.364
2021;Auxiliary basic engineering jobs;Saudis;Female;4165.833
2022;Auxiliary basic engineering jobs;Saudis;Female;4332.988
2022;Auxiliary basic engineering jobs;Non-Saudis;Male;1676.701
2017;Auxiliary basic engineering jobs;Non-Saudis;Female;1882.331
2019;Auxiliary basic engineering jobs;Non-Saudis;Female;5201.087
2015;Administrative and business directors;Non-Saudis;Male;8802.74
2014;Administrative and business directors;Non-Saudis;Female;5213.095
2022;Administrative and business directors;Non-Saudis;Female;12966.896
2014;Sales jobs;Saudis;Male;3988.814
2018;Sales jobs;Saudis;Male;4356.724
2020;Sales jobs;Saudis;Male;4537.0
2014;Sales jobs;Saudis;Female;3190.555
2020;Sales jobs;Saudis;Female;3678.0
2015;Sales jobs;Non-Saudis;Male;2750.463
2017;Sales jobs;Non-Saudis;Male;2797.444
2017;Sales jobs;Non-Saudis;Female;3570.801
2022;Sales jobs;Non-Saudis;Female;5494.407
2014;Services jobs;Saudis;Male;4859.837
2018;Services jobs;Saudis;Male;5024.472
2020;Services jobs;Saudis;Male;5065.0
2022;Services jobs;Saudis;Male;6568.91
2021;Services jobs;Saudis;Female;4081.883
2015;Services jobs;Non-Saudis;Male;1240.196
2015;Services jobs;Non-Saudis;Female;1650.672
2019;Services jobs;Non-Saudis;Female;1793.715
2017;Agricultural & animal husbandry Poultry and fishing;Saudis;Male;4185.431
2021;Agricultural & animal husbandry Poultry and fishing;Saudis;Male;5021.486
2020;Agricultural & animal husbandry Poultry and fishing;Saudis;Female;3522.0
2022;Agricultural & animal husbandry Poultry and fishing;Non-Saudis;Male;1185.4
2016;Agricultural & animal husbandry Poultry and fishing;Non-Saudis;Female;987.011
2022;Agricultural & animal husbandry Poultry and fishing;Non-Saudis;Female;1433.478
2016;Industrial and chemical processes and food industries;Saudis;Male;7995.521
2021;Industrial and chemical processes and food industries;Saudis;Male;9122.294
2020;Industrial and chemical processes and food industries;Saudis;Female;3895.0
2021;Industrial and chemical processes and food industries;Saudis;Female;4373.183
2016;Industrial and chemical processes and food industries;Non-Saudis;Male;1544.231
2017;Industrial and chemical processes and food industries;Non-Saudis;Female;1373.564
2018;Industrial and chemical processes and food industries;Non-Saudis;Female;1466.016
2020;Industrial and chemical processes and food industries;Non-Saudis;Female;1682.0
2014;Other;Saudis;Male;10216.581
2016;Other;Saudis;Female;16043.934
2021;Other;Saudis;Female;5210.135
2014;Other;Non-Saudis;Male;725.458
2019;Other;Non-Saudis;Female;803.267
2015;Total labour force;Saudis;Male;6357.265
2016;Total labour force;Saudis;Male;6756.506
2021;Total labour force;Saudis;Male;8099.041
2015;Total labour force;Saudis;Female;3708.252
2019;Total labour force;Saudis;Female;4166.443
2021;Total labour force;Saudis;Female;4954.413
2016;Total labour force;Non-Saudis;Male;1797.456
2019;Total labour force;Non-Saudis;Male;2119.614
2017;Total labour force;Non-Saudis;Female;3157.94
2019;Total labour force;Non-Saudis;Female;3087.676
2022;Total labour force;Non-Saudis;Female;3507.477
2015;Scientific, technical and human specialists;Saudis;Male;12710.181
2021;Scientific, technical and human specialists;Saudis;Male;13091.068
2017;Scientific, technical and human specialists;Non-Saudis;Male;10210.383
2021;Scientific, technical and human specialists;Non-Saudis;Male;11600.457
2022;Scientific, technical and human specialists;Non-Saudis;Male;13016.176
2017;Scientific, technical and human technicians;Saudis;Male;6733.55
2020;Scientific, technical and human technicians;Saudis;Male;8053.0
2022;Scientific, technical and human technicians;Saudis;Male;8763.057
2015;Scientific, technical and human technicians;Saudis;Female;4383.848
2017;Scientific, technical and human technicians;Saudis;Female;4410.561
2015;Scientific, technical and human technicians;Non-Saudis;Male;3398.667
2017;Scientific, technical and human technicians;Non-Saudis;Male;3615.773
2014;Scientific, technical and human technicians;Non-Saudis;Female;2792.435
2015;Scientific, technical and human technicians;Non-Saudis;Female;3087.879
2020;Scientific, technical and human technicians;Non-Saudis;Female;4242.0
2017;Clerical jobs;Saudis;Male;6166.465
2017;Clerical jobs;Saudis;Female;3651.734
2019;Clerical jobs;Non-Saudis;Female;3931.232
2014;Auxiliary basic engineering jobs;Saudis;Male;5454.451
2019;Auxiliary basic engineering jobs;Saudis;Female;4348.028
