dbn,school_name,latitude,longitude,finalgrades
11X253,Bronx High School for Writing and Communication Arts,40.875953,-73.86197,9 to 12
03M299,The Maxine Greene High School for Imaginative Inquiry,40.774351,-73.984753,9 to 12
27Q314,Epic High School - South,40.675771,-73.816938,9 to 12
09X231,Eagle Academy for Young Men,40.844958,-73.89705,6 to 12
06M462,The College Academy,40.855855,-73.92712,9 to 12
25Q263,Flushing International High School,40.759844,-73.820548,9 to 12
24Q296,Pan American International High School,40.74373,-73.870642,9 to 12
15K464,Park Slope Collegiate,40.669629,-73.979287,6 to 12
14K474,PROGRESS High School for Professional Careers,40.712184,-73.939722,9 to 12
01M292,Orchard Collegiate Academy,40.713684,-73.986336,9 to 12
05M148,Eagle Academy for Young Men of Harlem,40.817372,-73.947712,6 to 12
25Q525,Townsend Harris High School,40.73439,-73.821392,9 to 12
30Q580,Baccalaureate School for Global Education,40.755366,-73.927169,7 to 12
10X353,World View High School,40.882178,-73.88691,9 to 12
07X522,Bronx Design and Construction Academy,40.818232,-73.919867,9 to 12
13K265,Dr. Susan S. McKinney Secondary School of the Arts,40.696324,-73.97578,6 to 12
18K563,It Takes a Village Academy,40.648657,-73.922171,9 to 12
21K348,High School of Sports Management,40.594291,-73.98577,9 to 12
01M696,Bard High School Early College,40.719029,-73.975891,9 to 12
07X670,Health Opportunities High School,40.815938,-73.930386,9 to 12
15K462,John Jay School for Law,40.669629,-73.979287,9 to 12
28Q350,Jamaica Gateway to the Sciences,40.713218,-73.797237,9 to 12
17K546,High School for Public Service: Heroes of Tomorrow,40.658893,-73.942458,9 to 12
11X544,High School for Contemporary Arts,40.875953,-73.86197,9 to 12
02M280,Manhattan Early College School for Advertising,40.711442,-74.000851,9 to 14
28Q687,Queens High School for the Sciences at York College,40.701049,-73.798151,9 to 12
28Q686,Queens Metropolitan High School,40.711367,-73.856698,9 to 12
02M542,Manhattan Bridges High School,40.76525,-73.993105,9 to 12
09X260,Bronx Center for Science and Mathematics,40.833665,-73.902499,9 to 12
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",40.742839,-73.936782,6 to 12
09X413,Bronx High School for Medical Science,40.840422,-73.91091,6 to 12
10X434,Belmont Preparatory High School,40.860043,-73.888267,9 to 12
30Q501,Frank Sinatra School of the Arts High School,40.756534,-73.925121,9 to 12
10X565,High School for Energy and Technology,40.855698,-73.882715,9 to 12
02M438,International High School at Union Square,40.735494,-73.987659,9 to 12
31R460,Susan E. Wagner High School,40.596803,-74.124227,9 to 12
02M393,Business of Sports School,40.76337,-73.9906,9 to 12
09X252,Mott Hall Bronx High School,40.839244,-73.901316,9 to 12
19K422,Spring Creek Community School,40.657434,-73.874734,6 to 12
20K445,New Utrecht High School,40.613262,-74.003404,9 to 12
22K535,Leon M. Goldstein High School for the Sciences,40.580894,-73.935952,9 to 12
02M422,Quest to Learn,40.742867,-74.002136,6 to 12
02M399,The High School for Language and Diplomacy,40.735494,-73.987659,9 to 12
16K498,Brooklyn High School for Law and Technology,40.688831,-73.920906,9 to 12
29Q248,Queens Preparatory Academy,40.668235,-73.756839,9 to 12
02M529,Jacqueline Kennedy Onassis High School,40.757729,-73.983078,9 to 12
02M296,High School of Hospitality Management,40.76525,-73.993105,9 to 12
10X549,Discovery High School,40.870293,-73.898309,9 to 12
27Q480,John Adams High School,40.679639,-73.837298,9 to 12
07X334,International Community High School,40.81004,-73.917792,9 to 12
08X320,Pelham Lab High School,40.840702,-73.838545,9 to 12
25Q240,Veritas Academy,40.765166,-73.82789,9 to 12
26Q435,Martin Van Buren High School,40.733066,-73.738756,9 to 12
02M316,The Urban Assembly School of Business for Young Women,40.70568,-74.013302,9 to 12
11X455,Harry S Truman High School,40.874091,-73.833904,9 to 12
09X543,High School for Violin and Dance,40.827642,-73.904473,9 to 12
11X265,Bronx Lab School,40.875953,-73.86197,9 to 12
32K403,Academy for Excellence in Leadership,40.697185,-73.91117,9 to 12
