district_ar,haraj_listing_count,haraj_median_psqm,haraj_p25_psqm,haraj_p75_psqm,haraj_mean_psqm,haraj_iqr_psqm
أحد,4,3561.3500000000004,3144.53,4208.5625,3791.7425000000003,1064.0324999999998
إشبيلية,11,6343.7,5240.495,7871.66,6710.564545454545,2631.165
الأندلس,6,8043.005,6416.0425000000005,9563.1675,8075.445,3147.124999999999
البيان,72,5280.68,4134.0475,6444.1050000000005,5569.3734722222225,2310.057500000001
التعاون,7,9333.33,8604.275,12526.515,10703.557142857142,3922.24
الجزيرة,5,7842.4,4132.23,8264.46,6547.818,4132.23
الجنادرية,25,5166.67,4256.64,6750.73,5477.0524,2494.0899999999992
الحائر,4,2092.8450000000003,1456.8200000000002,2714.3175,2078.2925,1257.4975
الحزم,29,4237.04,3715.31,5347.59,4822.875517241379,1632.2800000000002
الحمراء,4,7869.665,7024.725,8414.602499999999,7569.6625,1389.8774999999987
الخالدية,4,4233.445,3295.4049999999997,5084.68,4146.64,1789.2750000000005
الخليج,21,5747.13,4930.88,8600.0,7050.242857142857,3669.12
الخير,5,8487.65,7200.0,10000.0,8801.53,2800.0
الدار البيضاء,39,3773.58,3106.445,4315.74,4224.765128205128,1209.2949999999996
الدريهمية,5,4626.17,2666.67,5118.11,3904.782,2451.4399999999996
الراية,5,9937.89,1845.93,12160.0,9261.04,10314.07
الربوة,6,8738.72,6510.87,11734.795,9755.789999999999,5223.925
الربيع,6,11888.89,10449.737500000001,12706.1425,11615.410000000002,2256.404999999999
الرمال,14,6648.004999999999,6101.4075,7619.5675,6718.920714285714,1518.1599999999999
الروابي,11,5833.33,5358.335,7630.0,6891.447272727272,2271.665
الروضة,10,7083.135,6202.49,8406.51,6740.213000000001,2204.0200000000004
الريان,4,8123.545,7104.5475,10717.587500000001,9698.59,3613.040000000002
الزاهر,4,7866.665,5096.4225,10554.485,7784.2425,5458.062500000001
الزهرة,14,4426.424999999999,4329.69,4454.66,4671.567857142857,124.97000000000025
السعادة,20,6881.93,5115.2474999999995,8250.0,6911.169500000001,3134.7525000000005
السلام,3,5400.0,4823.55,7656.63,6520.12,2833.08
السويدي الغربي,6,3404.5699999999997,2831.4525,4645.8325,3755.0916666666667,1814.3800000000006
الشفا,11,2880.0,2469.7,3955.555,3537.943636363636,1485.855
الصحافة,16,10403.61,8873.564999999999,12893.1875,11918.539999999999,4019.6225000000013
الصفا,11,9666.67,7613.280000000001,13914.805,11108.836363636365,6301.525
الصناعية,3,3790.32,3544.465,4202.85,3901.436666666667,658.3850000000002
العارض,67,9833.41,8369.19,11653.439999999999,10392.470597014926,3284.249999999998
العريجاء,3,2518.52,2259.26,5653.2,4435.466666666666,3393.9399999999996
العريجاء الأوسط,6,5648.15,4042.825,6187.5,5278.55,2144.675
العريجاء الغربي,16,5087.075,2968.75,6212.5,4812.238125,3243.75
العزيزية,5,4666.67,3015.08,4800.0,4092.886,1784.92
العقيق,8,10986.51,6081.4,12451.865,9564.09,6370.465
العليا,6,11449.295,10255.6675,13240.717499999999,11813.324999999999,2985.0499999999993
العوالي,23,4526.72,4115.975,6373.48,4981.801739130435,2257.504999999999
الغنامية,20,2146.37,1489.525,4513.645,3462.1845000000003,3024.1200000000003
الفاروق,4,7696.075,5508.165,11009.9975,8822.0875,5501.8324999999995
الفلاح,3,16386.89,12836.3,22082.335,17816.79333333333,9246.035
الفيحاء,7,5500.0,3709.4,7245.610000000001,5632.277142857143,3536.2100000000005
الفيصلية,3,4096.56,3714.945,7048.280000000001,5809.963333333333,3333.3350000000005
القادسية,33,6111.11,5160.95,7255.0,6175.117272727272,2094.05
القدس,6,7794.3,6680.0725,9726.0275,8384.758333333333,3045.955
القيروان,18,12583.705,8904.625,16327.162499999999,13794.110555555555,7422.5374999999985
المروة,14,3407.725,2936.6125,3680.81,3559.105,744.1974999999998
المشرق,10,1148.095,710.7125,1505.4524999999999,1167.1779999999999,794.7399999999999
المصيف,3,11520.0,9340.244999999999,13696.51,11517.836666666668,4356.265000000001
المعيزيلة,25,6192.66,4728.98,7590.98,6150.1836,2862.0
الملز,7,5000.0,4594.7,6837.525,6002.122857142857,2242.825
الملقا,24,10969.71,9603.175,14130.6,12152.315833333334,4527.425000000001
الملك سلمان,5,23267.41,18348.62,23668.64,19431.791999999998,5320.02
الملك فهد,3,7833.33,7562.5,9706.14,8901.316666666668,2143.6399999999994
الملك فيصل,6,6945.85,5796.055,9557.3575,7733.011666666666,3761.3025
المنار,7,5400.0,3626.665,7400.0,5788.571428571428,3773.335
المنصورة (خنشليلة),3,4464.29,4106.88,6708.334999999999,5722.046666666666,2601.454999999999
المهدية,53,6828.01,5407.56,8333.33,7257.783773584905,2925.7699999999995
المونسية,22,7041.545,5556.375,8897.415,7239.038636363636,3341.040000000001
النخبة,6,10172.415,6824.7125,12404.1475,9820.26,5579.4349999999995
الندوة,27,4596.8,3868.475,5874.445,5148.295925925926,2005.9699999999998
الندى,3,9196.0,8998.0,9931.335,9554.223333333333,933.3349999999991
النرجس,27,11805.56,9566.45,13829.79,12626.218888888889,4263.34
النزهة,3,12571.43,10337.89,13628.235,11786.94,3290.345000000001
النسيم الشرقي,12,4088.3500000000004,3188.5099999999998,4483.6375,3651.9883333333332,1295.1275
النسيم الغربي,8,4006.8050000000003,2914.2825000000003,4958.7575,4554.5075,2044.4749999999995
النظيم,8,4556.99,3262.2675,6602.2575,5105.26875,3339.99
النفل,3,17344.09,13109.915,17475.93,14609.199999999999,4366.014999999999
النهضة,31,6102.71,4583.335,7780.975,6327.673870967742,3197.6400000000003
الوادي,6,10795.09,9523.81,12292.6075,10932.235,2768.7975000000006
الياسمين,19,11333.33,9294.869999999999,13346.029999999999,11408.593157894737,4051.16
اليرموك,29,6330.45,5600.53,8366.85,6939.996206896552,2766.3200000000006
بدر,38,3780.54,2852.275,4917.2225,4225.523157894737,2064.9474999999998
جرير,7,4250.0,3621.06,5222.219999999999,4337.65,1601.1599999999994
حطين,14,12305.555,9801.3575,16095.892499999998,13147.457857142857,6294.534999999998
ديراب,24,3673.47,3203.5125,5062.09,4999.9925,1858.5775000000003
سلطانة,3,3433.7,3070.64,3829.525,3455.5433333333335,758.8850000000002
شبرا,9,4798.39,4310.34,5175.57,5194.074444444444,865.2299999999996
ضاحية نمار,22,3209.4,2252.3900000000003,4266.67,3411.3154545454545,2014.2799999999997
طويق,34,4153.1849999999995,3526.43,4808.3075,4140.438529411765,1281.8775
طيبة,3,1666.67,1011.905,2067.9049999999997,1497.6499999999999,1055.9999999999998
ظهرة البديعة,10,3896.0699999999997,3274.5525,5882.4225,4406.549,2607.87
ظهرة لبن,41,6141.16,5025.13,7466.67,6258.655609756098,2441.54
عرقة,7,16000.0,13755.555,16178.395,13516.79142857143,2422.84
عريض,11,5723.88,3006.17,6394.75,4956.237272727273,3388.58
عكاظ,41,3724.95,3011.11,4650.0,3918.074390243902,1638.8899999999999
غرناطة,9,8145.98,7400.0,8414.63,7716.656666666667,1014.6299999999992
قرطبة,10,8772.505,7627.01,10282.8025,9202.541000000001,2655.7924999999996
لبن,5,5987.43,5555.56,7250.0,6060.862,1694.4399999999996
مطار الملك خالد الدولي,3,9000.0,8800.0,9500.0,9200.0,700.0
نمار,9,3168.95,2124.18,3865.98,3886.312222222222,1741.8000000000002
