رقم العنصر الداخلي,رمز المنطقة,المنطقة,رمز المحافظة,المحافظة,حالة ملكية المنزل,حالة الحيازة,نوع السكن,مواد البناء,التاريخ,القيمة,التعليقات
11,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,أخرى,دور في فيلا,الخرسانة/مسلح,2022,22,
13,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,أخرى,منزل شعبي,الخرسانة/مسلح,2022,6,
14,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,أخرى,فيلا,الخرسانة/مسلح,2022,61,
16,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,أخرى,فيلا,أخرى,2022,1,
22,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من أحد أفراد العائلة,منزل شعبي,البلك/ الطوب,2022,14,
24,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من أحد أفراد العائلة,شقة,الخرسانة/مسلح,2022,102,
26,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من أحد أفراد العائلة,شقة في فيلا,الخرسانة/مسلح,2022,177,
33,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من الجمعيات الخيرية,منزل شعبي,البلك/ الطوب,2022,1,
37,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من الجمعيات الخيرية,دور في فيلا,الخرسانة/مسلح,2022,3,
38,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من الجمعيات الخيرية,آخرى,الخرسانة/مسلح,2022,3,
39,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من الجمعيات الخيرية,فيلا,الخرسانة/مسلح,2022,5,
45,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الحكومي,منزل شعبي,البلك/ الطوب,2022,8,
46,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الحكومي,فيلا,البلك/ الطوب,2022,11,
47,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الحكومي,شقة,الخرسانة/مسلح,2022,151,
49,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الحكومي,شقة في فيلا,الخرسانة/مسلح,2022,35,
51,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الحكومي,دور في فيلا,الخرسانة/مسلح,2022,83,
54,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الحكومي,فيلا,الخرسانة/مسلح,2022,377,
56,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الحكومي,آخرى,أخرى,2022,24,
59,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الحكومي,آخرى,الحجارة,2022,1,
60,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من فاعل خير,دور في منزل شعبي,البلك/ الطوب,2022,1,
61,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من فاعل خير,آخرى,البلك/ الطوب,2022,2,
64,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من فاعل خير,شقة,الخرسانة/مسلح,2022,10,
65,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من فاعل خير,شقة في منزل شعبي,الخرسانة/مسلح,2022,1,
67,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من فاعل خير,دور في منزل شعبي,الخرسانة/مسلح,2022,1,
68,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من فاعل خير,دور في فيلا,الخرسانة/مسلح,2022,1,
71,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من فاعل خير,فيلا,الخرسانة/مسلح,2022,8,
73,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من فاعل خير,منزل شعبي,أخرى,2022,1,
77,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الخاص,دور في فيلا,البلك/ الطوب,2022,11,
78,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الخاص,آخرى,البلك/ الطوب,2022,140,
79,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الخاص,منزل شعبي,البلك/ الطوب,2022,97,
84,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الخاص,شقة في فيلا,الخرسانة/مسلح,2022,130,
90,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الخاص,شقة,أخرى,2022,1,
91,RIY,الرياض,RIYDir,الدرعية,لا يملك مسكن,مقدم من العمل الخاص,شقة في فيلا,أخرى,2022,1,
