رقم العنصر الداخلي,البلدية,قطاع النشاط,التاريخ,المساحة الحقيقة (م2),عدد القطع
1,العليا,سكني,2019,2531,30757
6,العليا,صحي,2019,117,215
9,العليا,ثقافي,2019,28,11
11,العليا,حدائق,2019,51,110
14,العليا,مرافق واتصالات,2019,57,72
24,الملز,صحي,2019,27,60
25,الملز,تعليمي,2019,161,242
26,الملز,مساجد,2019,37,265
32,الملز,مرافق واتصالات,2019,54,175
38,الشميسي,صناعي,2019,1,1
40,الشميسي,تجاري,2019,189,410
43,الشميسي,تعليمي,2019,170,168
44,الشميسي,مساجد,2019,35,230
45,الشميسي,ثقافي,2019,14,6
47,الشميسي,حدائق,2019,48,44
50,الشميسي,مرافق واتصالات,2019,34,53
55,المعذر,سكني,2019,1232,11613
60,المعذر,صحي,2019,73,57
61,المعذر,تعليمي,2019,313,170
65,المعذر,حدائق,2019,27,37
70,المعذر,أخرى,2019,142,61
73,شمال الرياض,سكني,2019,3937,53265
74,شمال الرياض,صناعي,2019,100,41
75,شمال الرياض,مستودعات,2019,158,178
81,شمال الرياض,ثقافي,2019,6,5
82,شمال الرياض,ترويحي,2019,881,5972
84,شمال الرياض,زراعي,2019,508,162
88,شمال الرياض,أخرى,2019,607,1751
89,شمال الرياض,أرض فضاء,2019,28421,79422
93,البطحاء,مستودعات,2019,235,2268
94,البطحاء,تجاري,2019,314,2505
98,البطحاء,مساجد,2019,57,409
103,البطحاء,حكومي,2019,136,119
104,البطحاء,مرافق واتصالات,2019,23,83
105,البطحاء,خدمات نقل,2019,50,192
113,الروضة,مختلط,2019,271,3078
114,الروضة,صحي,2019,28,145
115,الروضة,تعليمي,2019,281,497
116,الروضة,مساجد,2019,156,700
117,الروضة,ثقافي,2019,9,17
120,الروضة,زراعي,2019,3466,43
121,الروضة,حكومي,2019,46,102
124,الروضة,أخرى,2019,215,1111
126,الروضة,المساحة الكلية بالهكتار,2019,26852,107706
133,النسيم,تعليمي,2019,207,351
136,النسيم,ترويحي,2019,36,326
138,النسيم,زراعي,2019,1,4
139,النسيم,حكومي,2019,106,67
141,النسيم,خدمات نقل,2019,50,214
143,النسيم,أرض فضاء,2019,404,1702
149,السلي,مختلط,2019,118,839
153,السلي,ثقافي,2019,0,0
156,السلي,زراعي,2019,339,321
158,السلي,مرافق واتصالات,2019,318,406
159,السلي,خدمات نقل,2019,156,400
160,السلي,أخرى,2019,43,126
165,العزيزية,مستودعات,2019,976,1646
166,العزيزية,تجاري,2019,346,1044
170,العزيزية,مساجد,2019,40,201
172,العزيزية,ترويحي,2019,112,992
175,العزيزية,حكومي,2019,91,31
179,العزيزية,أرض فضاء,2019,11165,17544
181,الشفا,سكني,2019,1225,17255
182,الشفا,صناعي,2019,23,67
192,الشفا,زراعي,2019,681,552
194,الشفا,مرافق واتصالات,2019,159,123
196,الشفا,أخرى,2019,33,244
197,الشفا,أرض فضاء,2019,4486,15701
198,الشفا,المساحة الكلية بالهكتار,2019,8159,43096
199,العريجاء,سكني,2019,2226,39499
200,العريجاء,صناعي,2019,0,2
203,العريجاء,مختلط,2019,175,2839
204,العريجاء,صحي,2019,30,95
207,العريجاء,ثقافي,2019,3,6
208,العريجاء,ترويحي,2019,80,715
209,العريجاء,حدائق,2019,45,45
214,العريجاء,أخرى,2019,38,81
215,العريجاء,أرض فضاء,2019,2655,6398
226,نمار,ترويحي,2019,314,3391
229,نمار,حكومي,2019,198,96
234,نمار,المساحة الكلية بالهكتار,2019,19355,89103
236,عرقة,صناعي,2019,44,17
240,عرقة,صحي,2019,21,29
241,عرقة,تعليمي,2019,45,69
246,عرقة,زراعي,2019,919,210
247,عرقة,حكومي,2019,23,28
249,عرقة,خدمات نقل,2019,21,123
251,عرقة,أرض فضاء,2019,33324,25567
252,عرقة,المساحة الكلية بالهكتار,2019,36180,48044
253,الحائر,سكني,2019,132,2725
255,الحائر,مستودعات,2019,153,141
266,الحائر,مرافق واتصالات,2019,24,20
272,مطار الملك خالد,صناعي,2019,18,2
