stop_id,stop_name,stop_desc,latitude,longitude,zone_id,stop_url,location_type,parent_station,feed
101014,WILLIS AV/E 138 ST,,40.80893,-73.922855,,,0,,manhattan
101015,WILLIS AV/E 140 ST,,40.810634,-73.921632,,,0,,manhattan
101017,WILLIS AV/E 144 ST,,40.813111,-73.919823,,,0,,manhattan
101018,WILLIS AV/E 146 ST,,40.814404,-73.918954,,,0,,manhattan
101066,3 AV/E 150 ST,,40.816142,-73.917547,,,0,,manhattan
101069,WILLIS AV/E 144 ST,,40.812711,-73.920405,,,0,,manhattan
101074,E 138 ST/3 AV,,40.810945,-73.926956,,,0,,manhattan
102209,E 138 ST/WILLIS AV,,40.809367,-73.923348,,,0,,manhattan
103772,BERGEN AV/WESTCHESTER AV,,40.816234,-73.915859,,,0,,manhattan
104075,LINCOLN AV/BRUCKNER BLVD,,40.80803,-73.929335,,,0,,manhattan
104630,WILLIS AV/E 140 ST,,40.810753,-73.921819,,,0,,manhattan
400001,4 AV/E 9 ST,,40.730955,-73.990418,,,0,,manhattan
400003,4 AV/E 13 ST,,40.733936,-73.98972,,,0,,manhattan
400007,PARK AV SOUTH/E 21 ST,,40.738976,-73.987053,,,0,,manhattan
400008,5 AV/E 72 ST,,40.772134,-73.967365,,,0,,manhattan
400018,MADISON AV/E 43 ST,,40.753349,-73.978759,,,0,,manhattan
400019,MADISON AV/E 46 ST,,40.755236,-73.977436,,,0,,manhattan
400021,MADISON AV/E 50 ST,,40.757739,-73.975556,,,0,,manhattan
400023,MADISON AV/E 56 ST,,40.761496,-73.972818,,,0,,manhattan
400024,MADISON AV/E 58 ST,,40.762701,-73.971959,,,0,,manhattan
400026,MADISON AV/E 63 ST,,40.766274,-73.969329,,,0,,manhattan
400027,MADISON AV/E 65 ST,,40.76758,-73.968375,,,0,,manhattan
400028,MADISON AV/E 67 ST,,40.768812,-73.967483,,,0,,manhattan
400029,MADISON AV/E 69 ST,,40.770075,-73.966558,,,0,,manhattan
400030,MADISON AV/E 72 ST,,40.772141,-73.96508,,,0,,manhattan
400031,MADISON AV/E 74 ST,,40.77345,-73.964142,,,0,,manhattan
400032,MADISON AV/E 77 ST,,40.775322,-73.962739,,,0,,manhattan
400033,MADISON AV/E 79 ST,,40.776647,-73.961823,,,0,,manhattan
400034,MADISON AV/E 83 ST,,40.778793,-73.960206,,,0,,manhattan
400036,MADISON AV/E 86 ST,,40.781155,-73.958483,,,0,,manhattan
400037,MADISON AV/E 89 ST,,40.782676,-73.957373,,,0,,manhattan
400038,MADISON AV/E 91 ST,,40.78436,-73.956137,,,0,,manhattan
400039,MADISON AV/E 93 ST,,40.785636,-73.955205,,,0,,manhattan
400041,MADISON AV/E 98 ST,,40.788413,-73.95318,,,0,,manhattan
400042,MADISON AV/E 101 ST,,40.790304,-73.951799,,,0,,manhattan
400043,MADISON AV/E 102 ST,,40.791371,-73.951022,,,0,,manhattan
400044,MADISON AV/E 104 ST,,40.792159,-73.950447,,,0,,manhattan
400045,MADISON AV/E 106 ST,,40.793434,-73.949511,,,0,,manhattan
400046,MADISON AV/E 107 ST,,40.794551,-73.948694,,,0,,manhattan
400047,MADISON AV/E 109 ST,,40.795813,-73.947779,,,0,,manhattan
400048,MADISON AV/E 111 ST,,40.796865,-73.947073,,,0,,manhattan
