name,lat,lon,capacity
Linden St & Knickerbocker Ave,40.69714,-73.91566,18
63 Ave & 99 St,40.73302,-73.85714,0
43 St & Skillman Ave,40.74692675687384,-73.9208248257637,19
Vesey St & Church St,40.71221958009051,-74.01047229766846,78
62 Dr & 110 St,40.73632,-73.84904,0
62 Dr & 97 St,40.73236,-73.86256,0
Yellowstone Blvd & 68 Ave,40.7263,-73.84841,0
68 Dr & 112 St,40.72704,-73.84128,0
70 Rd & 112 St,40.72371,-73.83959,0
Queens Blvd N & 75 Ave,40.71894,-73.8377,0
Austin St & 76 Ave,40.71612,-73.83735,0
Queens Blvd N & 78 Ave,40.71532,-73.83226,0
Broadway & W 41 St,40.75513557,-73.98658032,55
4 Ave & E 12 St,40.732647,-73.99011,39
Irving Ave & Palmetto St,40.698,-73.9127,20
Bergen St & Saratoga Ave,40.67423,-73.91656,20
W 35 St & 8 Ave,40.752762088742045,-73.99280458705107,57
David Sheridan Plaza & Broadway,40.90501,-73.89663,16
10 St & 7 Ave,40.6662078,-73.98199886,23
Sheridan Ave & E 168 St,40.835334,-73.9154,22
E 18 St & Church Ave,40.64958,-73.96316,31
Longfellow Ave & Aldus St,40.82319448542357,-73.88762910982096,24
Barrow St & Hudson St,40.73172428,-74.00674436,45
Verona Pl & Fulton St,40.6803560840434,-73.9476791024208,19
E 58 St & 1 Ave (NE Corner),40.75892386377695,-73.96226227283478,29
E 128 St & Madison Ave,40.80756,-73.939182,23
Madison St & Seneca Ave,40.70183,-73.90625,22
W 148 St & Amsterdam Ave,40.827075,-73.945909,23
Willoughby Ave & Myrtle Ave,40.69757,-73.93098,19
Lexington Ave & E 24 St,40.74025878,-73.98409214,79
14 St & 7 Ave,40.663779,-73.98396846,24
Ave D & E 12 St,40.72580614,-73.97422494,41
Turner Pl & Coney Island Ave,40.64521,-73.97073,20
Bailey Ave & W 229 St,40.87449,-73.90467,21
Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928,33
37 Ave & 35 St,40.7531106,-73.9279917,26
Banker St & Meserole Ave,40.72606,-73.95621,31
3 St & Hoyt St,40.6777287,-73.99364123,53
Woodward Ave & Harman St,40.70793,-73.91092,19
Hoyt St & Warren St,40.6843549,-73.98901629,35
Ditmas Ave & McDonald Ave,40.63548,-73.97825,23
Broadway & E 19 St,40.73829,-73.99006,99
Montgomery St & Franklin Ave,40.666439306870814,-73.9605563879013,19
35 St & 30 Ave,40.76547569244953,-73.91811579465866,29
Green St & McGuinness Blvd,40.73396,-73.95204,20
Maple St & Flatbush Ave,40.66026,-73.96045,24
53 Ave & 62 St,40.73169,-73.90159,19
23 Ave & 31 St,40.77423301703027,-73.91274864321404,27
Corona Ave & 111 St,40.7408,-73.84978,22
41 Ave & 67 St,40.74446,-73.89764,20
Myrtle Ave & Fleet Pl,40.693534,-73.981909,47
Post Rd & W 251 St,40.89561,-73.89793,12
Cauldwell Ave & E 161 St,40.82188,-73.907521,18
Morton St & Greenwich St,40.731135726910246,-74.00815155572697,56
Broadway & Ellwood St,40.862058,-73.929719,19
Sterling Pl & New York Ave,40.67234,-73.94763,25
Park Ave & E 162 St,40.825716,-73.915585,21
37 St & 13 Ave,40.64166,-73.98505,16
Fulton St & Williams Ave,40.67709,-73.9008,21
5 Ave & 37 St,40.652657,-74.002356,30
Wilson Ave & Troutman St,40.70166,-73.92754,26
87 St & Roosevelt Ave,40.74825,-73.87936,23
Lefferts Ave & Albany Ave,40.66288,-73.94019,24
Eastern Pkwy & Franklin Ave (NE Corner),40.6707767,-73.9576801,42
South St & Broad St,40.70188858913366,-74.01089876890182,31
7 St & 5 Ave,40.6704922,-73.98541675,27
51 Ave & Junction Blvd,40.74087,-73.86772,19
5 Ave & E 87 St,40.78232260730881,-73.95987510681152,39
61 St & Queens Blvd,40.74091,-73.90273,27
Shore Rd & 86 St,40.62561,-74.04079,12
Union St & 4 Ave,40.6772744,-73.98282002,28
W 52 St & 5 Ave,40.75992262,-73.97648516,61
Shakespeare Ave & W 169 St,40.839312,-73.922423,20
9 Ave & W 204 St,40.86169883507865,-73.91855701804161,24
E 85 St & York Ave,40.77536905,-73.94803392,47
West End Ave & W 94 St,40.7941654,-73.974124,31
Grand St & Havemeyer St,40.71286844,-73.95698119,31
Valentine Ave & E 183 St,40.856987,-73.898237,23
Colonial Rd & 89 St,40.62254,-74.03726,12
W 74 St & Columbus Ave,40.7785669,-73.97754961,27
Halsey St & Evergreen Ave,40.68858,-73.91227,22
E 188 St & Hughes Ave,40.8561,-73.88625,21
E New York Ave & Troy Ave,40.66227,-73.93762,21
Front St & Washington St,40.70255088,-73.98940236,57
St Nicholas Ave & W 137 St,40.818477,-73.947568,21
Bergen St & Buffalo Ave,40.6747,-73.92512,21
Canal St & Rutgers St,40.71427487,-73.98990025,45
Central Ave & Melrose St,40.70112,-73.93039,17
Southern Blvd & E 174 St,40.836733,-73.887931,27
Broadway & W 138 St,40.82182,-73.95353,27
Steinway St & Ditmars Blvd,40.772717,-73.906127,21
24 Ave & 87 St,40.7654,-73.88256,20
Elmhurst Ave & Forley St,40.74615,-73.87763,21
Smith St & 9 St,40.6746957,-73.99785768,23
Pleasant Ave & E 120 St,40.7974772,-73.9311847,21
65 St & 2 Ave,40.640493,-74.02564,21
Washington Ave & Empire Blvd,40.66314,-73.9605695,27
St James Pl & Pearl St,40.71117416,-74.00016545,27
Myrtle Ave & 65 St,40.70117,-73.8904,19
Menahan St & Seneca Ave,40.70461,-73.91054,16
Rivington St & Chrystie St,40.72110063,-73.9919254,64
Columbia Heights & Cranberry St,40.70037867,-73.99548059,37
Isham St & Broadway,40.86788,-73.919685,29
N Henry St & Norman Ave,40.7277,-73.94395,29
5 Ave & 3 St,40.6728155,-73.98352355,30
21 St & Hoyt Ave S,40.774645,-73.923706,33
112 St & Northern Blvd,40.75788,-73.85763,20
Jackson Mill Rd & 93 St,40.75874,-73.87535,21
Park Ave & E 41 St,40.751581,-73.97791,109
Jerome Ave & W Fordham Rd,40.86294,-73.90108,24
Bushwick Ave & Dekalb Ave,40.69502,-73.92825,29
51 Ave & 61 St,40.73568,-73.90387,19
Shore Rd & 4 Ave,40.6115,-74.03513,12
E 174 St & Walton Ave,40.844811,-73.912042,27
4 Ave & 85 St,40.62354,-74.02817,23
W 12 St & Hudson St,40.73752993301071,-74.00558933615685,45
Devoe St & Morgan Ave,40.713811,-73.93515,19
E 7 St & Ave A,40.72621788,-73.98379855,45
Kent Ave & Division Ave,40.706563674670925,-73.9683187007904,44
Pacific St & Sackman St,40.67522,-73.9061,19
Walton Ave & E 168 St,40.83649,-73.918316,20
E 163 St & Tiffany St,40.821075,-73.895069,19
72 St & 41 Ave,40.7448,-73.89377,26
21 St & 23 Ave,40.778557,-73.919046,22
W 50 St & 9 Ave,40.763604677958625,-73.98917958140373,30
Thomas S. Boyland St & Macon St,40.68491,-73.91493,21
Convent Ave & W 151 St,40.82831,-73.942924,24
Fulton St & Saratoga Ave,40.67853,-73.91642,19
Jerome Ave & Anderson Ave,40.830179,-73.928747,19
Edgecombe Ave & W 145 St,40.823498,-73.94386,31
E 106 St & Madison Ave,40.7934337,-73.94945003,25
Boston Rd & Prospect Ave,40.833246,-73.896599,19
Nassau Ave & Newell St,40.724812564400175,-73.94752621650696,51
Bushwick Ave & Linden St,40.69146,-73.92146,29
Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,27
