SIGNNAME,BOROUGH,CLASS,ACRES,latitude,longitude
Joseph C. Sauer Park,M,PARK,0.403,40.72817257642027,-73.97973450304731
Tepper Triangle,Q,PARK,0.2,40.71872406645586,-73.7916217104132
Old Town Playground,R,PARK,1.534,40.59539476649016,-74.08136110497249
Minetta Green,M,PARK,0.056,40.73031884998482,-74.00160890651598
First Park,M,PARK,0.763,40.72351779101827,-73.98963948015347
Captain Jacob Joseph Playground,M,PARK,0.135,40.71358820350437,-73.98981672319759
Big Red Garden,B,PARK,0.043,40.66873467157055,-73.88958384053602
Heisser Triangle,B,PARK,0.027,40.69873165779386,-73.9179018851196
Story Playground,X,PARK,2.075,40.822913436961656,-73.86284389381713
Lafayette Playground,B,PARK,0.517,40.69255632830735,-73.93006614927785
Fresh Creek Nature Preserve,B,PARK,77.044,40.64397908979985,-73.88446862143557
College Point Park,Q,PARK,0.659,40.7856239138934,-73.84648500390594
Hilton Holiday Gardens,Q,PARK,1.2,40.6686589404816,-73.7954718779259
Richmond Parkway,R,PARK,350.983,40.57062909298159,-74.1502285111575
Vito Locascio Field,Q,PARK,3.258,40.66995840961788,-73.84371981982626
Overlook Park,Q,PARK,2.327,40.77047114109283,-73.87236938615636
Belt Parkway,Q,PARK,202.647,40.666451485617976,-73.7899307652622
Flatbush Malls,B,PARK,0.73,40.632530033248386,-73.96113368435745
Park,X,PARK,0.046,40.84331552216572,-73.89382678873777
Charlton-Thompson Garden,X,PARK,0.488,40.824680575855005,-73.90710280634615
Co-op City Field,X,PARK,3.4,40.8758152604709,-73.82363421433517
La Finca del Sur Community Garden,X,PARK,0.255,40.81267224692161,-73.93018246878441
Park,M,PARK,0.034,40.780722567363476,-73.94441202879537
Allied Productions/Le Petit Versailles,M,PARK,0.034,40.72113498982487,-73.98179009036139
Park Slope,Q,PARK,0.005,40.7254196018928,-73.90386045776825
Merchant's House Museum,M,PARK,0.072,40.727742662033506,-73.9922722403209
