index,servicecode,service,servicear,sectorgeorrcode,submunrrcode,submunrr,submunrrar,districtcode,district,districtar,parcel_area,plotarea_m2,comments,commentsar,lat,lon
72,160155130055,Happiness Museum,متحف السعادة,2.0,16,KING KHALID INT. AIRPORT,مطار الملك خالد الدولي,1601,KING KHALID INT.AIRPORT,مطار الملك خالد الدولي,7540720.0,1670.0,,,24.8415751,46.73331655
40,050955130064,Foot Park,فوت بارك,2.0,05,SHIMAL-Al-Riyadh,شمال الرياض,0509,AL-GHADEER,الغدير,429564.0,4974.0,,,24.77136885,46.64389776
64,071455140023,Fun Oasis,واحة المرح,3.0,07,AR-RAWDAH,الروضة,0714,ASH-SHOHDA,الشهداء,312848.0,4412.0,,,24.7820783,46.73020613
57,070855140021,Strike 10,استرايك 10,3.0,07,AR-RAWDAH,الروضة,0708,KING FAISAL,الملك فيصل,75698.0,1585.0,,,24.77429239,46.77673981
67,080455140051,Sparky's,سباركيز,3.0,08,AN-NASEEM,النسيم,0804,EAST AN-NASEEM,النسيم الشرقي,52483.0,836.0,,,24.75073847,46.822751
55,070555140039,Alhokair Land,الحكير لاند,3.0,07,AR-RAWDAH,الروضة,0705,AL-HAMRA,الحمراء,45048.0,45048.0,,,24.76515334,46.73726168
29,050255140019,Snowy Forest,سنو فورست,2.0,05,SHIMAL-Al-Riyadh,شمال الرياض,0502,AL-MALQA,الملقا,38008.0,591.0,,,24.7915783,46.61207545
16,020655140018,Snowy Forest,سنو فورست,1.0,02,AL-MALAZ,الملز,0206,AR-RABWAH,الربوة,19461.0,804.0,,,24.69288295,46.76459954
52,070255140037,Woody park,حديقة وودي,3.0,07,AR-RAWDAH,الروضة,0702,AR-RIMAL,الرمال,19290.0,3409.0,,,24.85428551,46.8033477
21,030455140017,Sky Zone,سكاي زون,1.0,03,ASH-SHOMAISI,الشميسي,0304,AL-MATHAR,المعذر,18117.0,855.0,,,24.66565419,46.68189011
61,071255140012,Billy Beez,بيلي بيز,3.0,07,AR-RAWDAH,الروضة,0712,AL-ANDALUS,الأندلس,15757.0,1113.0,,,24.73905294,46.79934485
47,051655140002,Chuck E. cheese,تشكي تشيز,2.0,05,SHIMAL-Al-Riyadh,شمال الرياض,0516,HITTEEN,حطين,15354.0,3599.0,,,24.75229781,46.58519312
70,120855140030,Saffori Land,سفوري لاند,5.0,12,AL-URAIJA,العريجاء,1208,AS-SUWAIDI,السويدي,9858.0,510.0,,,24.60348363,46.70479298
12,011355140001,Chuck E. cheese,تشكي تشيز,1.0,01,AL-OLAYA,العليا,0113,AL-OLAYA,العليا,8690.0,4219.0,,,24.70851878,46.67716315
11,011155130059,Le Petite Sofa,لي بتيت صوفا,1.0,01,AL-OLAYA,العليا,0111,AL-WAHAH,الواحة,5026.0,754.0,,,24.74696377,46.722882
48,051755130053,Noor Riyadh,نور الرياض,2.0,05,SHIMAL-Al-Riyadh,شمال الرياض,0517,AL-AQEEK,العقيق,3591.0,3591.0,,,24.76270965,46.64045006
