Periodicity;Year;Quarter;Indicator;Value
Annually;2014;-;Commercial: Building;100.0
Annually;2014;-;Agricultural: Land;100.00069230769229
Annually;2015;-;Commercial: Building;100.31416666666667
Annually;2016;-;Residential: Apartment;93.26588461538462
Annually;2016;-;Commercial: Plot;90.69958928571432
Annually;2016;-;Commercial: Center;100.23166666666668
Annually;2017;-;Residential: Apartment;87.86755769230773
Annually;2018;-;Residential: Plot;83.25939285714287
Annually;2018;-;Residential: House;96.68972499999998
Annually;2019;-;Residential: Plot;83.12885714285711
Annually;2019;-;Commercial: Plot;84.43523214285715
Annually;2019;-;Commercial: Center;99.97941666666668
Annually;2019;-;Agricultural;97.74940384615387
Annually;2020;-;General index;84.51641071428571
Annually;2020;-;Residential;84.81546428571427
Annually;2020;-;Residential: Apartment;83.67040384615386
Annually;2020;-;Commercial: Center;100.39241666666668
Annually;2021;-;Residential;84.85026666666666
Annually;2021;-;Residential: Apartment;83.57230357142858
Annually;2021;-;Commercial Plot;84.42
Annually;2021;-;Commercial: Gallery/Shop;92.71202272727274
Annually;2022;-;Residential: Apartment;84.79508928571428
Annually;2022;-;Commercial Plot;94.1125
Annually;2022;-;Agricultural;96.73692857142859
Annually;2023;-;Residential;86.67096666666666
Annually;2023;-;Residential: Plot;85.58057142857145
Annually;2023;-;Residential Plot;100.00000000000001
Annually;2023;-;Residential: Villa;88.55625
Annually;2023;-;Residential: Floor;99.9975
Annually;2023;-;Commercial;83.7107
Annually;2023;-;Commercial Plot;100.05000000000001
Annually;2024;-;General index;92.89360714285715
Annually;2024;-;Residential: Villa;88.32028125000001
Annually;2024;-;Commercial;85.74193333333334
Annually;2024;-;Commercial: Building;103.0680625
Annually;2024;-;Commercial: Gallery/Shop;91.9650909090909
Quarterly;2014;Q1;General index;98.55085714285713
Quarterly;2014;Q1;Residential;98.39328571428574
Quarterly;2014;Q1;Residential: Villa;101.15114285714286
Quarterly;2014;Q2;General index;100.489
Quarterly;2014;Q2;Residential: House;99.4477
Quarterly;2014;Q3;Residential: House;100.0663
Quarterly;2014;Q3;Commercial;100.94028571428571
Quarterly;2014;Q3;Commercial: Gallery/Shop;99.6613
Quarterly;2014;Q4;Residential: Plot;100.86414285714285
Quarterly;2014;Q4;Residential: Apartment;101.65499999999999
Quarterly;2014;Q4;Agricultural;100.06415384615386
