Periodicity;Year;Quarter;Measure;Sector;value
Quarterly;2021;Q1;Index;Residential: Total;80.78
Quarterly;2021;Q1;Index;Commercial: Commercial Plot;82.84
Quarterly;2021;Q2;Index;Commercial: Commercial Plot;80.67
Quarterly;2021;Q3;Index;Residential: Residential Plot;87.86
Quarterly;2021;Q3;Index;Commercial: Commercial Plot;86.07
Quarterly;2021;Q3;Index;Agricultural: Total;87.46
Quarterly;2021;Q4;Index;Index number;89.15
Quarterly;2021;Q4;Index;Agricultural: Total;92.31
Quarterly;2021;Q4;Index;Agricultural: Agricultural Land;92.31
Quarterly;2022;Q1;Index;Index number;91.29
Quarterly;2022;Q1;Index;Residential: Apartment;91.45
Quarterly;2022;Q1;Index;Agricultural: Agricultural Land;91.43
Quarterly;2022;Q2;Index;Residential: Floor;96.95
Quarterly;2022;Q2;Index;Commercial: Total;95.55
Quarterly;2022;Q2;Index;Commercial: Gallery/ Shop;97.16
Quarterly;2022;Q2;Index;Agricultural: Agricultural Land;92.48
Quarterly;2022;Q3;Index;Residential: Total;98.58
Quarterly;2022;Q3;Index;Commercial: Commercial Plot;94.31
Quarterly;2022;Q3;Index;Commercial: Gallery/ Shop;97.3
Quarterly;2022;Q4;Index;Index number;97.22
Quarterly;2022;Q4;Index;Residential: Villa;94.16
Quarterly;2022;Q4;Index;Residential: Floor;100.23
Quarterly;2022;Q4;Index;Commercial: Building;93.55
Quarterly;2022;Q4;Index;Agricultural: Agricultural Land;95.04
Quarterly;2023;Q1;Index;Agricultural: Total;97.03
Quarterly;2023;Q3;Index;Residential: Total;99.77
Quarterly;2023;Q3;Index;Residential: Villa;100.67
Quarterly;2023;Q3;Index;Commercial: Total;100.23
Quarterly;2023;Q4;Index;Agricultural: Agricultural Land;102.08
Quarterly;2024;Q1;Index;Residential: Residential Plot;100.21
Quarterly;2024;Q1;Index;Residential: Apartment;100.34
Quarterly;2024;Q1;Index;Residential: Floor;96.28
Quarterly;2024;Q2;Index;Index number;101.79
Quarterly;2024;Q2;Index;Residential: Villa;101.82
Quarterly;2024;Q3;Index;Residential: Residential Plot;101.38
Quarterly;2024;Q3;Index;Residential: Villa;102.22
Quarterly;2024;Q3;Index;Commercial: Building;107.78
Quarterly;2024;Q3;Index;Agricultural: Agricultural Land;95.54
Quarterly;2025;Q1;Index;Residential: Total;104.26
Quarterly;2025;Q2;Index;Residential: Total;101.57
Quarterly;2025;Q2;Index;Agricultural: Agricultural Land;102.63
Quarterly;2025;Q3;Index;Index number;103.88
Quarterly;2021;Q2;QoQ;Residential: Total;2
Quarterly;2021;Q2;QoQ;Agricultural: Agricultural Land;3.3
Quarterly;2021;Q3;QoQ;Residential: Residential Plot;5.1
Quarterly;2021;Q3;QoQ;Residential: Villa;7.6
Quarterly;2021;Q3;QoQ;Commercial: Building;4
Quarterly;2021;Q4;QoQ;Residential: Residential Plot;3.6
Quarterly;2021;Q4;QoQ;Residential: Apartment;4.5
Quarterly;2021;Q4;QoQ;Commercial: Commercial Plot;2.4
Quarterly;2021;Q4;QoQ;Agricultural: Total;5.5
Quarterly;2022;Q1;QoQ;Residential: Residential Plot;1.7
Quarterly;2022;Q1;QoQ;Agricultural: Agricultural Land;-1
Quarterly;2022;Q2;QoQ;Residential: Apartment;4.7
Quarterly;2022;Q2;QoQ;Commercial: Commercial Plot;5
Quarterly;2022;Q2;QoQ;Agricultural: Total;1.1
Quarterly;2022;Q2;QoQ;Agricultural: Agricultural Land;1.1
Quarterly;2022;Q3;QoQ;Commercial: Commercial Plot;-1.7
Quarterly;2022;Q4;QoQ;Residential: Total;-0.4
Quarterly;2022;Q4;QoQ;Commercial: Total;0.3
Quarterly;2022;Q4;QoQ;Commercial: Building;-0.9
Quarterly;2023;Q1;QoQ;Residential: Villa;5.4
Quarterly;2023;Q1;QoQ;Agricultural: Agricultural Land;2.1
Quarterly;2023;Q2;QoQ;Agricultural: Total;-0.6
Quarterly;2023;Q3;QoQ;Residential: Villa;-1.1
Quarterly;2023;Q3;QoQ;Residential: Floor;-0.1
