latitude,longitude,name
24.6994716,46.6899776,Al Nokhba Clinics
24.7165614,46.6815365,Alshablan Medical Center
24.6793946,46.7270653,المستشفي الوطني
24.68704,46.7972478,
24.77919,46.7395065,مستشفى أستر سند
24.820636,46.9211311,
24.7468295,46.6521263,دلة
24.5833126,46.864015,
24.6712998,46.7330847,مستوصف عالم الطب
24.7588555,46.7350982,مركز اباس الطبي
24.69339,46.6785028,KAL Medical Development Foundation
24.9912678,46.2090413,
24.7513374,46.6998881,Dr Soliman Al-Kharashi Medical Center
24.7991145,46.7832812,
24.7983522,46.7819482,فال العافية
24.7370258,46.8306893,مركز فيتامين الطبي
24.7335576,46.8476305,مستوصف الشمال الطبي
24.6100189,46.7280761,مجمع طب الاسرة 2
24.6896885,46.6511806,مجمع نون الطبي Noon Medical Clinic
24.6018367,46.7020164,
24.6566664,46.706969,مستشفى المبارك
24.80364,46.7947663,مجمع عيادات اللوتس
24.8103493,46.7908317,مستوصف اليرموك
24.78625,46.8019821,الفارابي
24.761813,46.7809509,مستوصف الراية
24.6940156,46.7727851,Hayat National Hospital
24.6191751,46.7292391,مستشفى الفلاح
24.7030098,46.8056634,Al Malak Dental Clinic
24.6022144,46.7030747,Hammadi suwadi
24.7488786,46.8463748,jmcim ace
24.7779808,46.5904055,مستوصف حكومي
24.6054567,46.7111626,مجمع الوطن الطبي
24.6450027,46.7037899,بشير عبيد لطب الاسنان
24.7040495,46.7807863,مجمع الريان الطبي
24.6735627,46.7549046,Jarir Medical Center
24.4009602,46.8351733,مستوصف الحاير
24.6755467,46.661891,المجمع الطبي
24.7682894,46.7898996,الرعايه الأوليه. حي الخليج
24.5288033,46.6527136,مستشفى الأمام عبدالرحمن الفيصل
24.6807943,46.6922882,مختبر البرج الطبي
24.6278072,46.6903989,مستشفى الشميسي
24.8287332,46.6921323,مركز الملك فهد الوطني لسرطان الاطفال
24.799636,46.7897999,مركز اشبيليا
24.7621775,46.7635735,مجمع العالمي الطبي
24.6326975,46.7104187,
24.680726,46.6922446,مختبر البرج الطبي
24.6035617,46.7029077,مستوصف حراء الطبي
24.6854251,46.6849796,الخلد اخصائي عيون واسنان
24.6640318,46.7171387,
24.6138392,46.698579,مركز الصحي عسير
