latitude,longitude,name
24.7368857,46.6839908,تمیمي
24.7542175,46.770169,AlSadhan
24.7680961,46.7575916,بنده الحمراء
24.705956,46.6883297,
24.7076873,46.6899131,Al Sadhan Hypermarket
24.713113,46.6727167,Carrefour
24.7198624,46.6904451,بنده
24.7254766,46.7965374,
24.7262803,46.7970166,
24.7341154,46.7945513,
24.7293015,46.79037,
24.7238199,46.7752209,Carrefour Hypermarket
24.7305781,46.788629,Meed
24.7374188,46.7828032,
24.7240122,46.7976158,
24.691485,46.718335,
24.7230289,46.6744426,
24.7136242,46.6762344,Halawani Market
24.710792,46.693629,
24.7184632,46.680691,
24.7162022,46.6808198,Meed
24.6975568,46.7019555,Al Tamimi - Safeway
24.6869706,46.6932438,
24.7126351,46.6979108,Meed
24.7023309,46.6915705,
24.6876218,46.6879227,
24.6668954,46.7011728,
24.6681238,46.7002823,ميد
24.6562091,46.7354085,
24.747742,46.797649,Meed
24.7297099,46.7906026,
24.7010256,46.6763062,Caravan
24.723666,46.797282,
24.7282353,46.784903,السدحان هايبر ماركت
24.6902911,46.6881663,
24.7008336,46.6927224,
24.7817642,46.7319678,هايبرماركت كارفور
24.6883106,46.6429197,
24.5822399,46.8657429,Commissary
24.7322041,46.7647036,سوبرماركت الفانوس
24.7420559,46.8076975,بنده النسيم
24.8078826,46.8072599,بنده اشبيليا
24.5629406,46.6454805,كارفور
24.6688819,46.7324088,الحربي
24.5838003,46.6901288,اسواق ساره
24.5835857,46.6896513,اتصالات 24
24.5850491,46.6961745,الروزنه النسائي
24.6857467,46.7748506,العثيم مول
24.757096,46.6629792,بساتين الفصيم
24.7582554,46.6635421,أسواق عبد الله العثيم
24.7641645,46.7140972,أسواق بلشرف
24.5690559,46.8380607,Simply Market
24.6804644,46.7835508,Al Rajhi Mall بنده الروابي
24.6937442,46.6707414,danube
24.6296218,46.7182263,العثيم
24.7813177,46.6850278,بزل للوسائل التعليمية
24.8119551,46.770555,الدانوب
24.8056935,46.7813009,درة العقيق
24.8086152,46.7787904,
24.8139811,46.7761618,
24.8196843,46.7724925,اسواق العثيم
24.8247382,46.7706793,
24.8091643,46.778662,
24.7731958,46.5742663,
24.7142611,46.6260202,othaim market أسواق العثيم
24.7136763,46.6337956,tamimi market أسواق التميمي
24.6493534,46.7063527,
24.649952,46.7064664,
24.6501802,46.709352,
24.6505191,46.7092661,
24.6509262,46.7059321,
24.6513991,46.7072893,
24.6519094,46.7060049,سهل
24.6396905,46.708348,
24.583423,46.6865817,بنده
24.688473,46.6431992,Othaim Market اسواق العثيم
24.6893805,46.6490391,Mawaseem Supermarket اسواق المواسيم
24.5668117,46.5504778,اسواق العثيمين
24.5722951,46.7808324,اسواق النهدي
24.6012285,46.7481058,اسواق العثيم
24.5973722,46.7414481,الشامل للاواني المنزلية
24.7532926,46.8228109,Lulu Hypermarket
24.6464175,46.7070876,
24.5985825,46.6846048,بندة السويدي
24.8029202,46.7931445,بندتي
24.8036955,46.7941806,أسواق فجر المجد
24.6485083,46.554464,اسواق الرجبه
24.5486162,46.6490005,هايبر ماركت النهدي
24.6658098,46.7110666,بنده
24.6457267,46.7183614,SJ Supermarket Al Batha
24.6761963,46.8020052,منتجات سورية فلسطينية أردنية
24.6056953,46.7075463,بنده
24.6838282,46.8149994,بنده
24.6544316,46.8340767,سوق.كوم
24.6531326,46.7068012,
24.6456347,46.7073295,
24.6935893,46.7712074,السدحان هايبر ماركت
24.7024913,46.7783837,العربية للعود
24.6772231,46.7443213,Panda Super Market - Jarir
24.4694473,46.2860926,تموينات طويق للمواد الغذائية
24.80724,46.737201,أسواق التميمي
24.6635784,46.7032975,
24.663717,46.7033756,
24.7277192,46.8520857,أسواق العثيم
24.6446776,46.7054482,ميد
24.5794316,46.7885244,اسواق اللحيدان
24.5904405,46.7669571,العزيزية جاليرى
24.7591097,46.7652215,الخزف السعودي
24.6899203,46.8525685,سوبر ماركت جناين
24.7015942,46.8027608,السدحان
24.5783785,46.6638696,الدانة هايبر ماركت
24.6958746,46.7740433,ملحمة
24.8002464,46.7524092,تموينات منيره
24.6865094,46.6891292,
24.7035242,46.8317348,روابي الكورنيش
24.7712249,46.6688069,كارفور
24.8017148,46.6033261,أسواق التميمي
24.8016698,46.6033528,التميمي ملقا
24.5802783,46.6165029,زهرة الرجبة
24.6385697,46.5591811,حكايات الشام ( منتجات سورية )
24.6121015,46.7523797,دواجن العطاس
24.7460599,46.7756901,Tamimi Markets
24.7017967,46.8028472,السدحان
24.8143331,46.6803851,Grocery Outlet
24.5790342,46.6640875,الثلاجة العالمية
24.7587102,46.6963403,ثلاجة زهرة الفيحاء للمواد الغذائية
24.7649431,46.7253338,
24.7817924,46.7308063,غرناطه مول
24.7823803,46.6843381,سوبرماركت الرويس
24.7421191,46.8408518,اسوق المنور المركزيه
24.68038,46.7417839,Othaim Super Market
24.7392629,46.8435468,اسواق العادل
24.5959255,46.6814108,سوبر ماركت النادي
24.7091514,46.666787,
24.5714965,46.769596,اسواق وادي قريش
24.7819297,46.6361406,الرماية
24.6376188,46.6929951,ميد
24.7536306,46.6638366,
24.8163251,46.6237268,أسواق سلة الياسمين
24.6739627,46.6681107,أسواق التميمي
24.7893331,46.7016166,كارفور
24.8016035,46.6735539,تميمي
24.7606463,46.6736585,بنده
24.5839757,46.6884966,قمة السلة
25.0129276,47.0252971,
24.7859514,46.7991796,الدانوب
24.6349169,46.7188575,نيستو
24.6010319,46.6141936,أسواق النماري للتسويق الغذائي
24.6855914,46.6250238,Supermarket DQ
24.7043104,46.6780309,
24.7556136,46.6629356,
24.6641348,46.6822446,هايبر بنده
24.6766277,46.6770045,بنده
24.679916,46.6528861,بنده
24.7025633,46.6520761,هايبر بنده
24.7028869,46.7712305,هايبر بنده
24.6579977,46.7827318,هايبر بنده
24.6040111,46.6508208,بنده
24.5584707,46.6373722,هايبر بنده
24.5364316,46.6564695,هايبر بنده
24.7373008,46.7967115,بنده
24.7901315,46.7654262,بنده
24.7989626,46.8144399,هايبر بنده
24.7420186,46.6584059,هايبر بنده
24.7529639,46.5855045,هايبر بنده
24.6122412,46.7393636,سالم للحلويات
24.8178061,46.6653125,Lulu Hypermarket
24.7852561,46.6339347,
24.8634084,46.589112,altamimi supermarket
24.8582814,46.5933678,supermarket
24.6028977,47.0753327,بقالة العجمي
24.8966388,46.9080388,أسواق هلا
24.6294253,46.7122111,
24.80849,46.6691939,بنده
25.0751,46.7123,اسواق زاد
25.2429,47.1474,أسواق زاد
24.7252799,46.8144691,المنار مول
24.6358179,46.7244718,Spar
24.6366686,46.7119427,latifa supermarket
25.1532399,46.6512235,
25.2309,46.3292,سوبر ماركت
24.8637915,46.7232032,Spar
24.8037338,46.7747359,القيسي للمواد الغذائية
24.8131337,46.6301349,سلة البساتين
24.8116313,46.646003,أسواق المزرعة
24.8025879,46.6501502,ثمار العقيلات
24.796747,46.638564,أسواق ومخابز درة العقيق
24.7978847,46.6422257,بنده
24.8007952,46.6485411,أسواق الأسرة
24.7978975,46.6509684,النخلة
24.8176523,46.6651417,لولو هايبر ماركت ذا رووف
24.55148,46.5137278,أسواق البركه
24.7793405,46.7708378,تموينات
24.7506111,46.7801673,اسواق ومخابز الجعيدي
24.6944919,46.7719957,
24.5673107,46.5421594,الشبكة الذهبية للاتصالات
24.8034819,46.728849,اسواق تلة الوادي
24.8303913,46.7471885,قهوتكم | Qahwatcom
24.7665277,46.7545927,Al Hamra Square - الحمراء سكوير
24.7628865,46.7450193,سبار
24.7574838,46.6281934,كارفور
24.7896746,46.6515394,تموينات شماشم
24.6944121,46.6069362,Tamimi Markets
24.757755,46.7125967,أسواق التميمي
24.7594324,46.7157118,مانويل ماركت
24.7990633,46.7314603,بوفية تسالي للوجبات السريعة
24.8023434,46.7297516,تموينات أمل محمد الحربي
24.8039617,46.7285345,أسواق روافد
24.8032199,46.7289429,تموينات تلة الوادي
24.8021798,46.7294604,تموينات محمد عبدالعزيز المقيبل
24.6117826,46.6354322,المنزل الساطع للبلاستيك والمنظفات
24.6910164,46.6821177,أسواق التميمي
24.5707922,46.743012,قوة العروبة لشراء معدات المطاعم المستعملة
24.7458477,46.6988212,أسواق التميمي
24.7405867,46.6442609,Danube
24.7716289,46.651619,تموينات سلة القمم
24.8054333,46.6862516,أسواق ربى
24.8399169,46.672492,تموينات بركان النرجس
24.7677269,46.806622,وكالة بحر المداد للدعاية والاعلان
24.8203042,46.6425171,
24.7641862,46.7142024,SPAR Supermarket
24.8381543,46.7324688,Looz & Jooz Grocery
24.7002183,46.6733743,تموينات الطناج
24.7534704,46.8052951,Abdullah Al-Othaim Markets417 أسواق العثيم
24.6012513,46.7533739,ابهار
24.6154757,46.6751777,تموينات ومخابز بركات الديرة المركزية
24.6156615,46.6898427,العثيم
24.6109223,46.6849708,
24.8393869,46.669968,
24.8588799,46.6468455,أسواق التميمي
24.5650373,46.5753527,أسواق التميمي
24.7560321,46.6838225,أسواق الجزيرة هايبرماركت
24.5545692,46.5168495,Lulu
24.5564308,46.4999504,Othaim
24.7401277,46.6262216,Spinneys
24.750353,46.7153024,Spinneys
24.7848127,46.5672046,
24.7063461,46.663477,EuroMarche
24.697562,46.6838378,سنتريا مول
24.7143717,46.6736583,العليا مول
24.7138432,46.6723957,العليا مول
24.6923775,46.6693654,بانوراما مول
24.7431869,46.6583402,الرياض جاليري
24.6895259,46.685586,الفيصلية مول
24.7236067,46.7561594,
24.6763783,46.676384,أول بلازا
24.6937901,46.7275439,بندة
24.7471541,46.8156773,Aldrees
24.752123,46.8191272,
24.750433,46.8224695,العثيم مول فرع طريق خريص
24.6589566,46.782883,رمال مول
24.7818052,46.7312297,مركز غرناطة
24.7439855,46.621166,هايبربنده النخيل
24.6002116,46.6977166,القصر مول
24.6524928,46.7944434,مرجان السعودية
24.738745,46.6827349,صحارى مول
24.558271,46.6373095,سلام مول
24.5630782,46.6452218,فلامنجو
24.5838667,46.5858059,القرية الشعبية
24.5791378,46.5845042,بنده
24.5901824,46.6224737,التميمي
24.5954891,46.6327709,سوق الرياض الدولي
24.6763679,46.719083,Al Shoalah Commercial Center
24.7113647,46.6743563,مركز المملكة
24.7582382,46.6634138,Alothaim
24.6676042,46.7820523,الهرم بلازا
24.6502321,46.7087388,سوق السمك
