latitude,longitude,name
24.5730216,46.6829673,منتزه سد وادي نمار
24.6885812,46.619366,Diplomatic Club Site
24.5377545,46.6653635,
24.7657116,46.7621668,
24.7596568,46.7539435,
24.7979782,46.7481483,
24.7086606,46.8064549,
24.7102648,46.8120913,
24.7131085,46.8147415,
24.70251,46.8084904,
24.704074,46.8133617,
24.6998262,46.8165798,
24.5987433,46.6780648,
24.5471483,46.7176885,
24.5686106,46.6992497,
24.7666222,46.7050685,
24.762764,46.6703826,
24.7589855,46.7732936,
24.7360612,46.7814852,
24.7417021,46.7568354,
24.6907236,46.7917016,
24.6976646,46.7659844,AlRaja Park
24.603262,46.6631895,
24.590319,46.6656078,
24.592377,46.6152935,
24.5787866,46.624291,
24.5765789,46.6451537,
24.6175478,46.7548874,
24.6956092,46.7511414,حديقة النهضة
24.5801975,46.2806398,
25.1542,46.6501,منتزة الثمامة البري
24.7108524,46.677242,
24.7379379,46.5732065,Diriyyah Park حديقة الدرعية
24.7387948,46.573269,حديقة منتزه البجيري
24.6368017,46.5542958,حديقة لبن
24.5877477,46.5598331,
24.5662044,46.5015408,
24.564435,46.501362,
24.5601025,46.4973851,
24.9880641,46.2140916,منتجع شرفة Shurfah Resort
24.666211,46.72823,حديقة دوار الكويت
24.7468932,46.6495901,حديقة حي النخيل
24.7760205,46.7389439,
25.0051742,46.6439506,حديقة السعودية
24.755431,46.5868573,Sports Boulevard - المسار الرياضي
24.7993749,46.4121777,منتجع السلاطين
24.7629696,46.6059637,المسار الرياضي - ذا قروف
25.1710288,46.3291388,حديقة الياسمين
25.0069669,46.496329,مشروع درة الرياض
24.6397246,46.7091517,حديقة الفوطة
24.7313131,46.7749173,حديقة الروضة
24.730975,46.8141435,Al Naseem Park
24.7189529,46.6763564,حديقة الورود
24.6862158,46.6878724,King Fahad Library Park
24.67339,46.725696,حديقة جبل أبو مخروق
24.6209799,46.708525,حديقة السلام
24.7000315,46.6788328,Al Thager Park
24.7109596,46.7803227,Al Rayan Park
24.6908387,46.7817624,
24.7423459,46.7676195,Al Rawdah Amusement Park
24.7075323,46.7050248,
24.7224931,46.7624541,حديقة خزان الروضة
24.7240049,46.7953044,
24.5848502,46.6824746,
24.7075988,46.5812911,
24.7076122,46.582841,
24.7099225,46.5803123,
24.7086161,46.5814838,
24.7066903,46.5792213,
24.7089272,46.5798777,
24.7066018,46.5805196,
24.7869186,46.8388882,
24.7882291,46.8373828,
24.7872657,46.8379811,
24.7892552,46.8374757,
24.7898914,46.8382869,
24.7872165,46.8400676,
24.7901763,46.8394495,
24.787864,46.8408265,
24.5879578,46.8564737,
24.6806171,46.6827278,حديقة العليا
