latitude,longitude,name
24.7218941,46.7914221,
24.7224116,46.7731502,Indian International School
24.7295377,46.7879813,المدارس السعودية (بنات)
24.7194036,46.6791419,
24.7085124,46.709455,
24.6950302,46.6951003,
24.7017949,46.6912164,
24.658559,46.7429831,Secondary School
24.6586077,46.744013,High School
24.6579447,46.7430045,Elementary School
24.7015062,46.7771667,Girls Secondary School 77
24.7010773,46.7766732,School 281 - Girls
24.7370402,46.7681989,Ibn Hajar Boys School
24.5843405,46.6761515,
24.5847227,46.6764587,
24.5844593,46.6766518,
24.777276,46.7352184,
24.584421,46.771909,
24.751234,46.8138931,international indian school
24.6910832,46.7048289,International Indian Public School (IIPS)
24.5768363,46.6687086,
24.5811008,46.6628423,مدرسة خبيب بن عدي الابتدائية
24.6694971,46.7894413,
24.7607527,46.7573174,
24.7561839,46.7465181,
24.757167,46.7431643,
24.8023742,46.7643883,
24.8046086,46.7565314,
24.801427,46.7578602,
24.7954847,46.7458206,
24.7934282,46.7405321,
24.8084458,46.7546675,
24.8106153,46.759733,
24.8074905,46.7945765,
24.7826774,46.7822762,
24.7875755,46.7736311,
24.7954382,46.7938452,
24.7232498,46.8449339,
24.7233007,46.842272,
24.72157,46.8508742,
24.7218245,46.8530878,
24.7119904,46.8052332,
24.7172134,46.8174171,
24.7109847,46.8151425,
24.7000634,46.8062999,
24.7010082,46.8135671,
24.7026789,46.8163157,
24.7833072,46.7077166,
24.6519141,46.6868333,Pakistan International School 1
24.653752,46.6836932,Pakistan International School 2
24.772258,46.56244,المعهد العلمي في الدرعية
24.5752247,46.7804524,مدرسة سمر بن جندب
24.7931768,46.7951453,ثانوية أضواء الرياض الأهلية
24.7075255,46.8137733,دار القلم
24.6531799,46.7051047,المدرسة الاثيوبية العالمية بالرياض
24.643406,46.657531,al oruba international school
24.8045146,46.7347109,
24.7970498,46.8765797,الابداع
24.6285679,46.6816053,مدرسة المواهب الأهلية للبنين
24.8027813,46.6905821,المدرسة الفرنسية الدولية بالرياض
24.5819112,46.6641676,مدرسة موسى بن نصير الثانوية
24.6602113,46.7196949,
24.6138304,46.6992375,مدرسة ابن الهيثم الابتدائية
24.4984146,46.6327266,مدرسة المتوسطة 156
24.5781504,46.680601,مدارس الرشد ابتدائي بنين
24.5678503,46.702449,ثانوية حي الشفاء
24.7018494,46.7101345,
24.7652924,46.7232957,مدارس الجودة الأهلية
24.7272998,46.8329938,مدرسة عبدالقاهر الجرجاني
24.7738346,46.7551729,مدارس الأمجاد الأهلية والعالمية-القبول والتسجيل
24.7400468,46.7841392,مجمع الشيخ صالح الراجحي (رحمه الله) لتحفيظ القرآن الكريم
24.586704,46.5326346,
24.5790181,46.5514635,
24.6991876,46.7878421,مدرسة بنات
24.6534422,46.7392085,
24.5977025,46.6572445,ابتدائية جعفر بن أبي طالب
24.5953693,46.6755246,
24.5946666,46.6745104,
24.5567243,46.7629075,
24.6733839,46.7927146,متوسطة جعفر بن الزبير
24.7403297,46.7518215,
24.651663,46.5736034,مدرسة يزيد بن نعيم الابتدائية
24.6517735,46.5738789,مدرسة سليم بن عيسى لتحفيظ القرآن الكريم
24.6919615,46.7629725,مدرسة أبي عمرو البصري رحمة الله تعالى
24.6917521,46.7621408,متوسطة مجاهد
24.752905,46.707872,
24.8145,46.8101,
24.8153,46.8132,
24.8145,46.8105,
24.8093902,46.6480053,مدارس النمو
24.8002975,46.644936,مدارس الصحافة
24.7962937,46.637573,مدارس الصحافة
24.7970141,46.6395633,مدارس علوم الرياض الأهلية
24.8256584,46.6483654,مجمع مدارس بنات
24.8025598,46.7296043,مدارس أبناء المجد الأهلية ابتدائي متوسط بنين
24.8026215,46.6717105,مجمع نيار التعليمي
24.6720214,46.7954808,
24.6075758,46.6780781,
24.6817297,46.6927243,مدارس منار الشمس العالمية
24.898816,46.6337827,ابتدائية شيخة بنت عبدالعزيز
24.6984742,46.5874971,Misk Schools
24.6822145,46.6992629,
24.5763266,46.5537371,متوسطة أوس بن ثابت
24.7253773,46.6673482,مدارس نجد الأهلية
24.7296489,46.7650768,Ibn Al Jawzi Boys School
24.7000723,46.6943208,
24.7285827,46.789433,المدارس السعودية (بنين)
24.7132442,46.6278178,Koranic School for Girls
24.7159992,46.6273478,الابتدائية ٧١ للبنات
24.7925864,46.6589919,Kingdom School
24.7509028,46.8140135,
24.5910356,46.6946021,المدرسة الثانوية 154 (بنات)
24.5911723,46.6953453,لمدرسة الإبتدائية 254 (بنات)
24.5914644,46.6949732,المدرسة المتوسطة 169 (بنات)
24.5930981,46.6902837,مدرسة شبرا الإبتدائية (بنين)
24.5882,46.6839904,المتوسطة 110 بنات
24.5882668,46.7799289,
24.5892935,46.7821589,
24.5808837,46.5844747,مدارس العبير الأهلية
24.5835931,46.5936741,ابتدائية حماد بن سلمة
24.5885836,46.6018608,
24.6145157,46.6426534,مدرسة الليث بن سعد الابتدائية بنين
24.6150979,46.6390672,ثانوية الجويني بنين
24.6117048,46.6385996,مدرسة رقم 116 الابتدائية بنات
24.6091907,46.6343964,مدرسة عبدالله الجار الله الابتدائية بنين
24.6116619,46.6415942,معهد التربية الفكرية بنات
24.611178,46.6419801,مدرسة رقم 157 المتوسطة بنات
24.6094842,46.6309742,مدرسة عمير بن سعد الابتدائية بنين
24.5927826,46.6905335,مدرسة سفيان بن عيينة المتوسطة (بنين)
24.5872426,46.6892764,مدرسة عتبة بن غزوان الإبتدائية (بنين)
24.6584302,46.6924623,Riyadh Schools
24.7035167,46.7830175,
24.7195993,46.6424543,KACST's Boys School
24.7221518,46.6443157,KACSR's Girls School
24.8127328,46.7522206,
24.7777772,46.7271849,
24.7342477,46.7062541,Prince Sultan Educational Complex
24.7954336,46.619933,
24.7950532,46.6265724,
24.7870392,46.6305462,Al Najashi Secondary School
24.7902079,46.6291524,
24.6790677,46.6156986,Elementary School
24.6822694,46.6169441,Primary School for Girls
24.6838751,46.6189943,King Faisal School
24.6812271,46.6284705,Diplomatic School
24.6825896,46.6283063,Al Safarat Secondary School
24.6787834,46.6294858,Tuwaiq Secondary School for Girls
24.8022815,46.8967375,
24.816088,46.8909879,
24.806822,46.8854718,
24.8087803,46.8823237,
24.8119034,46.8785771,
24.8084942,46.8887673,
24.8113714,46.8985998,
24.8015206,46.8086216,
24.7432089,46.8347425,
24.7420601,46.8325397,
24.7405318,46.8367317,
24.7368982,46.8363497,
24.7469542,46.8274723,
24.7438893,46.8287859,
24.7344774,46.835327,
24.73081,46.8394005,
24.7283548,46.8383985,
24.6609639,46.8286759,
24.6978362,46.8594998,
24.7545178,46.8832681,
24.7558701,46.8861287,
25.165082,46.3251239,
24.6028884,46.7764906,
24.5887563,46.7890607,
24.5803003,46.8349268,
24.5770332,46.840904,
24.577804,46.845872,
24.5733628,46.8454639,
24.5699582,46.8407592,
24.5668983,46.8454516,
24.5683582,46.8455286,
24.5748058,46.8485542,
24.5867638,46.8478862,
24.5848049,46.8466426,
24.5888991,46.8483059,
24.5731421,46.8518206,
24.576128,46.8544149,
24.5857246,46.8479862,
24.4903562,46.6166896,
24.5001054,46.6232474,
24.4980132,46.6277298,
24.5031076,46.6293383,
24.5492535,46.6529038,
24.5455673,46.6550507,
24.5517078,46.6606437,
