السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,الرياض,الرياض,أحد,شقة,2,805000,341.73,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,إشبيلية,شقة,21,15577314.99,3263.66,5155.854225,6119.86,3906.12
2024,3,الربع الثالث,20243,الرياض,الرياض,أم الحمام الغربي,شقة,1,890000,74.24,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الإزدهار,شقة,24,24572849.8,2632,9449.184701,11203.02,8156.27
2024,3,الربع الثالث,20243,الرياض,الرياض,البيان,شقة,39,23465078,4743.07,5055.223081,6718.58,3855.06
2024,3,الربع الثالث,20243,الرياض,الرياض,البديعة,شقة,3,2086724,286.42,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,التعاون,شقة,10,11065354,1454.63,7964.512697,9606.21,5509.46
2024,3,الربع الثالث,20243,الرياض,الرياض,الخزامى,شقة,7,10769530.89,898.16,10759.89166,11762.23,10527.56
2024,3,الربع الثالث,20243,الرياض,الرياض,الرحمانية,شقة,1,1600000,100.42,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الروابي,شقة,20,20871000,3491.49,5874.654439,6649.31,5497.56
2024,3,الربع الثالث,20243,الرياض,الرياض,الجزيرة,شقة,2,1818500,254.25,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الجنادرية,شقة,17,10765274,2795.79,4160.61721,5036.46,3520.82
2024,3,الربع الثالث,20243,الرياض,الرياض,الحزم,شقة,60,33315694.63,9534.51,3462.3658,4434.47,2320.42
2024,3,الربع الثالث,20243,الرياض,الرياض,الحمراء,شقة,62,58954774.49,9205.248,6858.495916,7329.68,6331.05
2024,3,الربع الثالث,20243,الرياض,الرياض,الرمال,شقة,442,345177222.8,62840.62,5482.52948,6375.74,4476.33
2024,3,الربع الثالث,20243,الرياض,الرياض,الشفا,شقة,14,7842159.8,2520.23,3482.979693,3815.07,3162.06
2024,3,الربع الثالث,20243,الرياض,الرياض,أم الحمام الشرقي,شقة,1,890000,74.24,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الخليج,شقة,51,37417753.72,7571.91,5057.531068,5358.271199,4853.06
2024,3,الربع الثالث,20243,الرياض,الرياض,الربيع,شقة,7,13367000,1334.43,10117.88731,10782.46,9554.28
2024,3,الربع الثالث,20243,الرياض,الرياض,الرفيعة,شقة,2,1420000,199.65,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الروضة,شقة,22,18043275,2887.67,6425.103134,7403.98,5897.55
2024,3,الربع الثالث,20243,الرياض,الرياض,السعادة,شقة,147,109446630,23073.25,4746.153355,5542.13,4091.95
2024,3,الربع الثالث,20243,الرياض,الرياض,الأندلس,شقة,20,15342413,2602.29,5895.129755,6511.22,5288.21
2024,3,الربع الثالث,20243,الرياض,الرياض,الشهداء,شقة,18,20287530,2393.49,7832.241739,9810.764697,6913.37
2024,3,الربع الثالث,20243,الرياض,الرياض,العريجاء,شقة,2,1890000,638.08,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,البرية,شقة,1,670000,199.55,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الرائد,شقة,23,33118079.65,2974.59,10654.16144,12001.01,9029.61
2024,3,الربع الثالث,20243,الرياض,الرياض,الريان,شقة,38,38157980.07,5063.7,7572.833771,8801.27,6563.87
2024,3,الربع الثالث,20243,الرياض,الرياض,الزهرة,شقة,31,16064500,4283.747,3997.788312,4721.87,3566.03
2024,3,الربع الثالث,20243,الرياض,الرياض,الخالدية,شقة,2,700000,251.34,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الدار البيضاء,شقة,107,42170532.99,14093.19,3057.149727,3674,2409.46
2024,3,الربع الثالث,20243,الرياض,الرياض,الربوة,شقة,9,10338645,1341.11,7880.574155,8139.37,7586.55
2024,3,الربع الثالث,20243,الرياض,الرياض,السليمانية,شقة,74,88404499.89,8741.55,9941.252424,11575.46,8945.18
2024,3,الربع الثالث,20243,الرياض,الرياض,السويدي,شقة,25,14975186.86,4045.52,3799.492239,4292.07,3377.34
2024,3,الربع الثالث,20243,الرياض,الرياض,الفوطة,شقة,1,200000,132.4,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الصحافة,شقة,37,44802097.75,4977.22,9774.452269,12666.31,6073.71
2024,3,الربع الثالث,20243,الرياض,الرياض,الصفا,شقة,5,4785000,634.26,NULL,NULL,NULL
