السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,3,الربع الثالث,الرياض,الرياض,الفاروق,دوبلكس,سكني,1,920000,284.1,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الروابي,دور,سكني,2,2830000,311.79,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,المجمعة,أخرى,فيلا,سكني,2,1200000,829.75,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الملك عبدالعزيز,فيلا,سكني,1,680000,338.9,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الزلفي,الندى,أرض,سكني,3,307000,1795.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,سلطانة,دور,سكني,1,790000,208.9,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الخير,أرض,سكني,2,1580000,1022,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الرحمانية,أخرى,سكني,1,9918436,1020.42,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الملك فيصل,أرض,تجاري,1,13800000,3000,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,السويدي,دوبلكس,سكني,1,1480000,240,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,السويدي الغربي,دور,سكني,4,3650000,860.35,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,النسيم الشرقي,أخرى,سكني,2,8080796,1680,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الإزدهار,شقة,سكني,5,6084000,779.14,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المناخ,أرض,سكني,2,792500,1000,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,حريملاء,القرينة الجديدة,أرض,سكني,1,1350000,625,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,السيح,أخرى,أخرى,1,265000,130.94,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الدلم,أخرى,فيلا,سكني,1,115000,420,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الشميسي,أخرى,أخرى,3,2190000,420.05,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,جرير,أخرى,سكني,1,400000,152,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المروج,أرض,سكني,1,3900000,260,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الأندلس,شقة,سكني,1,730000,117.77,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الأندلس,مبنى,تجاري,1,4380000,875,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الندوة,أرض,سكني,5,5264913,1483.97,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,الملقا,أرض,سكني,3,1840000,875,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المنار,فيلا,سكني,1,3700000,400,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الغاط,أخرى,أرض,زراعي,3,11100516.5,752695.83,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,السلي,مبنى,تجاري,4,10687500,9825,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الملز,أخرى,سكني,1,2500000,640,NULL,NULL,NULL
