السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,4,الرياض,الخرج,أرض,سكني,754,422038723.8,1318486.601,703.3236141,3177.08,2.67
2025,4,الرياض,الدوادمي,فيلا,سكني,16,1087965.44,9942.36,16.03414613,70.67,8
2025,4,الرياض,جلاجل,أرض,سكني,1,150000,630,NULL,NULL,NULL
2025,4,الرياض,الزلفي,أرض,سكني,239,39824200.45,110173.65,341.1464755,1202.21,86.96
2025,4,الرياض,الدلم,دوبلكس,سكني,1,260000,407.22,NULL,NULL,NULL
2025,4,الرياض,الرياض,دور,سكني,1241,1186551098,236336.64,5028.519318,14021.62978,2350.39
2025,4,الرياض,الدوادمي,دوبلكس,سكني,1,1000000,721.73,NULL,NULL,NULL
2025,4,الرياض,وادي الدواسر,أرض,سكني,100,20294162.24,112581.88,142.6832611,356.66,72.24
2025,4,الرياض,الغاط,أرض,سكني,41,4507054.48,40122.39,76.11671334,269.15,21.79
2025,4,الرياض,الرياض,دوبلكس,سكني,726,955729084.1,206479.929,4108.037293,11600,2411.6
2025,4,الرياض,وادي الدواسر,دور,سكني,1,800000,418,NULL,NULL,NULL
2025,4,الرياض,البديع,أرض,سكني,1,530000,900,NULL,NULL,NULL
2025,4,الرياض,الرياض,فيلا,سكني,1922,3413678475,782162.865,4132.41706,17063.49206,555.5555556
2025,4,الرياض,السليل,أرض,سكني,34,7305747,39894.54,27.39776741,226.09,1.46
2025,4,الرياض,رماح,أرض,سكني,93,31925670.98,60410.12,411.5221198,787.05,121.21
2025,4,الرياض,الخرج,فيلا,سكني,26,18322596.16,12804.58,1299.711055,1500,1064.356436
2025,4,الرياض,شقراء,شقة,سكني,3,555000,347.66,NULL,NULL,NULL
2025,4,الرياض,المجمعة,أرض,سكني,277,87990106.2,167692.23,417.5793972,1605.63,79.37
2025,4,الرياض,المزاحمية,دوبلكس,سكني,2,1730000,690.74,NULL,NULL,NULL
2025,4,الرياض,المجمعة,فيلا,سكني,1,30000,972.14,NULL,NULL,NULL
2025,4,الرياض,الدوادمي,أرض,سكني,612,81441972.05,362036.56,61.1879623,350,0.46
2025,4,الرياض,الرياض,أرض,سكني,4094,6932786619,5191446.426,2437.330354,18000,38.65250865
2025,4,الرياض,المجمعة,دوبلكس,سكني,4,1685000,1009.48,NULL,NULL,NULL
2025,4,الرياض,حوطة بني تميم,أرض,سكني,59,14673374.55,91152.24,296.7654387,1564.76,23.44
2025,4,الرياض,المزاحمية,شقة,سكني,6,3481000,848.34,3710.940938,3838.97,3543.76
2025,4,الرياض,حريملاء,شقة,سكني,2,430000,291.76,NULL,NULL,NULL
2025,4,الرياض,الخرج,شقة,سكني,46,16468778.69,9736.34,1598.421864,2471.32,616.25
2025,4,الرياض,شقراء,فيلا,سكني,1,35000,399.95,NULL,NULL,NULL
2025,4,الرياض,شقراء,دوبلكس,سكني,1,50000,230,NULL,NULL,NULL
2025,4,الرياض,الرين,دور,سكني,1,322459,148.49,NULL,NULL,NULL
2025,4,الرياض,مرات,أرض,سكني,45,7385465.56,27833.53,185.3376699,262.11,111.11
2025,4,الرياض,القويعية,أرض,سكني,183,29689867.2,236603.24,61.46956999,334.49,1.31
2025,4,الرياض,الرياض,شقة,سكني,3136,2551650322,445386.7184,5732.611763,18359.85,8
2025,4,الرياض,الافلاج,فيلا,سكني,2,460835.68,661.49,NULL,NULL,NULL
2025,4,الرياض,حوطة سدير,فيلا,سكني,1,300000,400,NULL,NULL,NULL
