source,listing_id,district,lat,lon,property_type_ar,property_type_en,price_sar,area_sqm,price_per_sqm,bedrooms,bathrooms,age_years,listing_date,url
haraj,11180850706,الياسمين,24.823231016877,46.62818674512,شقة,apartment,1100000.0,149.0,7382.55,3,,,2026-05-18,https://haraj.com.sa/11180850706/للبيع_شقة_سكنيه_بالياسمين/
haraj,11180832107,ظهرة لبن,24.606608328975,46.506959511875,عمارة,building,780.0,125.0,6.24,36,,0,2026-05-18,https://haraj.com.sa/11180832107/شقه_للبيع_مدخلين_حي_ظهرة_لبن_قابله_للتفاوض_للصامل_فقط/
haraj,11180822061,النرجس,24.902775803496,46.629342402181,شقة,apartment,1050000.0,123.1,8529.65,3,,0,2026-05-18,https://haraj.com.sa/11180822061/شقة_فاخره_للبيع_بحي_النرجس/
haraj,11180813430,الرمال,24.852610260955,46.792001679217,شقة,apartment,870000.0,375.0,2320.0,3,,0,2026-05-18,https://haraj.com.sa/11180813430/شقة_فخمة_دور_علوي_في_حي_الرمال/
haraj,11180805893,طويق,24.557547171025,46.519232644192,شقة,apartment,750000.0,203.0,3694.58,5,,,2026-05-17,https://haraj.com.sa/11180805893/شقة_للبيع_دورين/
haraj,11180797630,الندوة,24.794097138838,46.875471601873,فندق,apartment,2500.0,2000.0,1.25,56,,,2026-05-17,https://haraj.com.sa/11180797630/شقق_فاخره_في_حي_الندوه/
haraj,11180793624,السعادة,24.68308598688,46.834659206238,شقة,apartment,700000.0,98.0,7142.86,4,,,2026-05-17,https://haraj.com.sa/11180793624/شقة_في_حي_السعادة_للبيع_مؤثثة_اثاث_كامل/
haraj,11180785132,المهدية,24.660353464499,46.519426240052,Apartment,apartment,770000.0,139.33,5526.45,3,,0,2026-05-17,https://haraj.com.sa/11180785132/شقة_للبيع_في_حي_المهديةالرياض_مسطحات_البناء_139_متر_مربع/
haraj,11180777621,الحزم,24.53126900895,46.634969812469,شقة,apartment,390000.0,93.49,4171.57,3,,0,2026-05-17,https://haraj.com.sa/11180777621/للبيع_شقق_جديدة_370_الف_في_الحزم/
haraj,11180774819,ديراب,24.508456892437,46.627880734042,Apartment,apartment,390000.0,111.11,3510.04,3,,0,2026-05-17,https://haraj.com.sa/11180774819/للبيع_شقق_في_مشارف_الحزم_390_الف/
haraj,11180769758,الحزم,24.530403097127,46.648162961795,Apartment,apartment,640000.0,204.12,3135.41,6,,0,2026-05-17,https://haraj.com.sa/11180769758/للبيع_شقق_فاخرة_في_حي_الحزم/
haraj,11180758323,بدر,24.53731463456,46.700674503345,مبنى سكني,apartment,483750.0,137.07,3529.22,3,,,2026-05-17,https://haraj.com.sa/11180758323/شقه_للبيع_في_بدر_بسعر483750_شامل_السعي/
haraj,11180756210,الصحافة,24.802833832466,46.641465274742,شقة,apartment,1435000.0,141.0,10177.3,4,,6,2026-05-17,https://haraj.com.sa/11180756210/شقه_للبيع_ب_الصحافة_جميع_المكيفات_راكبه_والمطبخ_الماني_راكب/
haraj,11180727511,الدار البيضاء,24.578213985627,46.797983981337,شقة,apartment,470000.0,105.51,4454.55,4,,,2026-05-16,https://haraj.com.sa/11180727511/شقة_للبيع_الدار_البيضاء/
haraj,11180725038,الملقا,24.813521908502,46.590733461658,شقة,apartment,1200000.0,169.0,7100.59,4,,,2026-05-16,https://haraj.com.sa/11180725038/شقه_مميزه_الملقا_للبيع_168_متر/
haraj,11180721281,المونسية,24.830564579151,46.748019890651,Apartment,apartment,900000.0,110.72,8128.61,3,,,2026-05-16,https://haraj.com.sa/11180721281/شقة_للبيع_الرياض_حي_المونسية/
haraj,11180721229,الرمال,24.85455358771,46.845933793629,شقة,apartment,950000.0,211.0,4502.37,8,,,2026-05-16,https://haraj.com.sa/11180721229/للبيع_شقتين_بصك_واحد_في_حي_الرمال/
haraj,11180420272,طويق,24.558432357032,46.519940731288,شقة,apartment,750000.0,158.89,4720.25,3,,,2026-05-11,https://haraj.com.sa/11180420272/شقه_سكنيه_للبيع/
haraj,11180374148,طويق,24.5641950546,46.530352948885,شقة,apartment,750000.0,219.17,3422.0,5,,,2026-05-11,https://haraj.com.sa/11180374148/شقة_للبيع/
