dbn,school_name,latitude,longitude,attendance_rate_hs,attendance_rate_k8,graduation_rate
11X253,Bronx High School for Writing and Communication Arts,40.875953,-73.86197,0.876,,0.73
03M299,The Maxine Greene High School for Imaginative Inquiry,40.774351,-73.984753,0.779,,0.772
27Q314,Epic High School - South,40.675771,-73.816938,,,
09X231,Eagle Academy for Young Men,40.844958,-73.89705,0.814,0.877,0.831
06M462,The College Academy,40.855855,-73.92712,0.811,,0.92
25Q263,Flushing International High School,40.759844,-73.820548,,,
24Q296,Pan American International High School,40.74373,-73.870642,,,
15K464,Park Slope Collegiate,40.669629,-73.979287,0.694,0.907,0.802
14K474,PROGRESS High School for Professional Careers,40.712184,-73.939722,0.779,,0.717
01M292,Orchard Collegiate Academy,40.713684,-73.986336,0.807,,0.938
05M148,Eagle Academy for Young Men of Harlem,40.817372,-73.947712,0.704,0.648,0.723
25Q525,Townsend Harris High School,40.73439,-73.821392,,,
30Q580,Baccalaureate School for Global Education,40.755366,-73.927169,,,
10X353,World View High School,40.882178,-73.88691,0.934,,1.0
07X522,Bronx Design and Construction Academy,40.818232,-73.919867,0.861,,0.709
13K265,Dr. Susan S. McKinney Secondary School of the Arts,40.696324,-73.97578,0.888,0.918,0.87
18K563,It Takes a Village Academy,40.648657,-73.922171,,,
21K348,High School of Sports Management,40.594291,-73.98577,,,
01M696,Bard High School Early College,40.719029,-73.975891,0.942,,0.95
07X670,Health Opportunities High School,40.815938,-73.930386,0.84,,0.741
15K462,John Jay School for Law,40.669629,-73.979287,0.854,,0.855
28Q350,Jamaica Gateway to the Sciences,40.713218,-73.797237,,,
17K546,High School for Public Service: Heroes of Tomorrow,40.658893,-73.942458,0.828,,0.917
11X544,High School for Contemporary Arts,40.875953,-73.86197,0.839,,0.782
02M280,Manhattan Early College School for Advertising,40.711442,-74.000851,0.812,,0.921
28Q687,Queens High School for the Sciences at York College,40.701049,-73.798151,,,
28Q686,Queens Metropolitan High School,40.711367,-73.856698,,,
02M542,Manhattan Bridges High School,40.76525,-73.993105,0.774,,0.951
09X260,Bronx Center for Science and Mathematics,40.833665,-73.902499,0.798,,0.945
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",40.742839,-73.936782,,,
09X413,Bronx High School for Medical Science,40.840422,-73.91091,0.918,0.92,0.814
10X434,Belmont Preparatory High School,40.860043,-73.888267,0.822,,0.758
30Q501,Frank Sinatra School of the Arts High School,40.756534,-73.925121,,,
10X565,High School for Energy and Technology,40.855698,-73.882715,0.941,,0.938
02M438,International High School at Union Square,40.735494,-73.987659,0.786,,0.862
31R460,Susan E. Wagner High School,40.596803,-74.124227,,,
02M393,Business of Sports School,40.76337,-73.9906,0.79,,0.867
09X252,Mott Hall Bronx High School,40.839244,-73.901316,0.83,,0.849
19K422,Spring Creek Community School,40.657434,-73.874734,,,
20K445,New Utrecht High School,40.613262,-74.003404,,,
22K535,Leon M. Goldstein High School for the Sciences,40.580894,-73.935952,,,
02M422,Quest to Learn,40.742867,-74.002136,0.861,0.928,0.831
02M399,The High School for Language and Diplomacy,40.735494,-73.987659,0.732,,0.8
16K498,Brooklyn High School for Law and Technology,40.688831,-73.920906,0.763,,0.826
29Q248,Queens Preparatory Academy,40.668235,-73.756839,,,
02M529,Jacqueline Kennedy Onassis High School,40.757729,-73.983078,0.769,,0.831
02M296,High School of Hospitality Management,40.76525,-73.993105,0.702,,0.805
10X549,Discovery High School,40.870293,-73.898309,0.909,,0.908
27Q480,John Adams High School,40.679639,-73.837298,,,
07X334,International Community High School,40.81004,-73.917792,0.708,,0.74
08X320,Pelham Lab High School,40.840702,-73.838545,0.886,,0.756
25Q240,Veritas Academy,40.765166,-73.82789,,,
26Q435,Martin Van Buren High School,40.733066,-73.738756,,,
02M316,The Urban Assembly School of Business for Young Women,40.70568,-74.013302,0.697,,0.743
11X455,Harry S Truman High School,40.874091,-73.833904,0.801,,0.798
09X543,High School for Violin and Dance,40.827642,-73.904473,0.859,,0.769
11X265,Bronx Lab School,40.875953,-73.86197,0.584,,0.795
32K403,Academy for Excellence in Leadership,40.697185,-73.91117,,,
02M475,Stuyvesant High School,40.7177,-74.01399,0.973,,0.993
05M499,Frederick Douglass Academy,40.824319,-73.93712,0.802,0.806,0.83
18K637,Academy for Conservation and the Environment,40.633285,-73.916735,,,
