district,count,median_price_sqm,mean_price_sqm,median_area_sqm,median_price_sar,property_types
النخيل,3,26000,19412,500.0,12000000,Plot
الهدا,1,20000,20000,500.0,10000000,Plot
ام الحمام الغربي,2,18668,18668,278.4,3900000,"Apartment, Villa"
الفلاح,3,16387,17817,378.0,8200000,"Plot, Villa"
الخزامى,5,16298,14061,528.3,7000000,Villa
الرحمانية,1,16000,16000,450.0,7200000,Villa
العقيق,10,14961,12399,318.8,1977000,"Apartment, Plot, Villa"
قرطبه,1,14785,14785,74.4,1100000,Apartment
Al Sahafah,2,14595,14595,144.9,2000000,Apartment
**,1,13545,13545,885.9,12000000,Plot
حي الخليج,1,13333,13333,375.0,5000000,Plot
النفل,2,13110,13110,634.0,9565000,"Plot, Villa"
Al Malqa,3,13000,13586,360.0,4500000,"Plot, Villa"
النزهة (شارع محمد المشاري).,1,12571,12571,875.0,11000000,Villa
Al Wadi,1,12368,12368,331.5,4100000,Villa
العليا,12,12359,14222,425.0,4250000,"Apartment, Plot, Villa"
Hittin,4,12107,10910,535.5,5793750,"Plot, Villa"
الرفيعة,3,12003,14693,365.0,4800000,"Plot, Villa"
Al Qirawan,1,12000,12000,200.0,2400000,Villa
النزهة,6,11714,12512,511.8,5725000,"Apartment, Plot, Villa"
المصيف,4,11560,10863,612.5,6100000,"Plot, Villa"
الربيع,6,11474,11942,571.0,6725000,"Plot, Villa"
حطين,13,11429,11263,596.0,6000000,"Apartment, Plot, Villa"
Al Yasmin,3,11387,8005,900.0,1900000,"Apartment, Plot, Villa"
القيروان,12,11328,11505,397.5,4250000,"Apartment, Plot, Villa"
المهدية.,1,11250,11250,400.0,4500000,Plot
الياسمين,26,11222,10474,345.0,3900000,"Apartment, Plot, Villa"
النرجس,55,11111,12057,282.0,3300000,"Apartment, Plot, Villa"
الرائد,1,11074,11074,298.0,3300000,Villa
الملقا,39,11054,14135,159.1,1500000,"Apartment, Building, Plot, Villa"
Al Saadah,1,10983,10983,72.8,800000,Apartment
West Naseem,1,10462,10462,437.5,4577000,Building
الصفا,10,10417,12025,312.2,3500000,"Plot, Villa"
الشهداء,1,10286,10286,875.0,9000000,Villa
الوزارات,2,10210,10210,545.0,4145000,"Building, Plot"
الصحافة,19,10000,10299,325.0,2500000,"Apartment, Plot, Villa"
Al Quds,1,10000,10000,750.0,7500000,Plot
الريان,4,9860,10567,610.2,5975000,"Plot, Villa"
السليمانية,4,9575,8645,450.0,4750000,"Plot, Villa"
الوادي,4,9524,9942,315.0,3000000,Villa
المروج,3,9500,7952,600.0,5700000,"Plot, Villa"
ALMAIZALIYAH,1,9461,9461,68.7,650000,Apartment
Al Izdihar,1,9461,9461,124.7,1180000,Apartment
Ar Rabwah,1,9434,9434,424.0,4000000,Villa
Ghirnatah,1,9383,9383,405.0,3800000,Villa
Al Arid,2,9350,9350,470.3,3549315,"Plot, Villa"
التعاون,8,9197,10255,243.2,2424500,"Apartment, Plot, Villa"
الندى,5,9196,10574,500.0,6600000,"Plot, Villa"
النسيم (فئة د) - مخطط رقم 1270.,1,9143,9143,875.0,8000000,Plot
العارض,48,9058,10111,230.8,1900000,"Apartment, Plot, Villa"
الضباط,4,8975,10390,333.1,2725000,"Plot, Villa"
الملك عبدالعزيز,3,8960,7937,315.0,2800000,Villa
القدس,7,8958,9432,235.8,2700000,"Apartment, Plot, Villa"
المنصورة (خنشليلة),1,8952,8952,210.0,1880000,Villa
المرسلات,1,8814,8814,624.0,5500000,Villa
الروضة,9,8413,7144,241.9,1350000,"Apartment, Building, Villa"
الملك فهد,6,8317,8587,592.8,5100000,"Plot, Villa"
غرناطة,5,8311,7906,164.0,1150000,"Apartment, Villa"
الزهراء,1,8264,8264,556.6,4600000,Plot
المونسية الموظف المسؤول عن الإعلان: ماجد,1,8167,8167,300.0,2450000,Villa
At Taawun,2,8164,8164,590.0,5125125,"Plot, Villa"
حي السحاب (شرق),1,8000,8000,300.0,2400000,Plot
الملك فيصل,6,7950,7439,288.5,975000,"Apartment, Plot, Villa"
الربوة,8,7868,9898,375.0,2850000,"Plot, Villa"
الفاروق,4,7689,6142,368.8,2800000,"Plot, Villa"
قرطبة,15,7460,7258,390.0,1850000,"Apartment, Plot, Villa"
المنار,4,7400,7650,500.0,2850000,"Apartment, Plot, Villa"
Ar Rayaan,1,7273,7273,990.0,7200000,Villa
المونسية,26,7236,7232,299.0,1450000,"Apartment, Plot, Villa"
السلام,3,7200,7504,500.0,2700000,"Apartment, Villa"
الورود,5,7160,7610,620.0,5800000,Plot
المهدية,53,7028,7760,351.4,2500000,"Apartment, Plot, Villa"
Ar Rawdah,3,7023,7711,598.0,4200000,"Apartment, Villa"
ANNASIRIYAH,1,7000,7000,2425.2,16976400,Plot
Dahiyat Namar,1,6939,6939,77.8,540000,Apartment
الحمراء,6,6856,6875,355.8,1827892,"Apartment, Plot, Villa"
Ar Rimal,2,6713,6713,260.7,1750000,Villa
Al Yarmuk,2,6691,6691,178.5,1170000,"Apartment, Villa"
سما الروسان.,1,6667,6667,375.0,2500000,Plot
السحاب,10,6667,5715,300.0,2000000,Plot
الاندلس,6,6611,7734,462.5,2599500,"Apartment, Plot, Villa"
اشبيلية,12,6500,6723,375.0,2975000,"Apartment, Building, Villa"
الرمال- التعمير,1,6424,6424,288.0,1850000,Villa
Al Awaly,2,6398,6398,588.0,3750000,Villa
الرمال,64,6345,6565,300.0,2000000,"Apartment, Plot, Villa"
إشبيلية,1,6344,6344,559.6,3550000,Villa
السعادة,25,6319,6398,312.5,1450000,"Apartment, Plot, Villa"
القادسية,29,6313,6257,300.0,1350000,"Apartment, Plot, Villa"
الروابي,10,6301,6997,184.8,1000000,"Apartment, Villa"
Al Khalij,1,6286,6286,875.0,5500000,Villa
طويق (مخطط 2509).,1,6241,6241,272.4,1700000,Villa
الجزيرة,8,6222,5745,484.0,3350000,"Plot, Villa"
المعيزلة,23,6193,5946,312.5,2000000,"Apartment, Plot, Villa"
West Al Uraija,3,6150,5217,200.0,1230000,Villa
النهضة,31,6103,6431,360.0,2400000,"Apartment, Plot, Villa"
اليرموك,33,6000,6111,310.5,1200000,"Apartment, Plot, Villa"
الفيحاء,7,6000,6673,631.5,4000000,"Plot, Villa"
